DISPATCH_STALL_FOR_BRANCH_ABORT,CPU_READ_COMMAND_LATENCY_TO_TARGET_NODE_0_3,PIPELINE_RESTART_DUE_TO_INSTRUCTION_STREAM_PROBE,SEGMENT_REGISTER_LOADS,RETURN_STACK_OVERFLOWS,L3_CACHE_MISSES,DISPATCH_STALL_WAITING_FOR_ALL_QUIET,MEMORY_CONTROLLER_TURNAROUNDS,RETIRED_SSE_OPERATIONS,CPU_IO_REQUESTS_TO_MEMORY_IO,PERF_COUNT_SW_TASK_CLOCK,RETIRED_MMX_AND_FP_INSTRUCTIONS,CPU_CLK_UNHALTED,INTERRUPTS_MASKED_CYCLES_WITH_INTERRUPT_PENDING,INSTRUCTION_CACHE_MISSES,SMIS_RECEIVED,FP_SCHEDULER_CYCLES,CPU_READ_COMMAND_REQUESTS_TO_TARGET_NODE_0_3,CPU_READ_COMMAND_REQUESTS_TO_TARGET_NODE_4_7,RETIRED_CLFLUSH_INSTRUCTIONS,RETIRED_TAKEN_BRANCH_INSTRUCTIONS_MISPREDICTED,HYPERTRANSPORT_LINK3,DISPATCH_STALL_FOR_SERIALIZATION,DISPATCH_STALL_FOR_RESERVATION_STATION_FULL,INEFFECTIVE_SW_PREFETCHES,PERF_COUNT_HW_CACHE_MISSES,GLOBAL_TLB_FLUSHES,RETIRED_MOVE_OPS,DISPATCHED_FPU_OPS_FAST_FLAG,RETIRED_BRANCH_INSTRUCTIONS,MEMORY_REQUESTS,PERF_COUNT_HW_CPU_CYCLES,HYPERTRANSPORT_LINK1,L1_DTLB_MISS_AND_L2_DTLB_HIT,DATA_CACHE_LINES_EVICTED,MEMORY_CONTROLLER_PAGE_TABLE_OVERFLOWS,LOCKED_OPS,CPU_REQUESTS_TO_TARGET_NODE_0_3_4_7,L2_FILL_WRITEBACK,PERF_COUNT_HW_BRANCH_MISSES,INTERRUPTS_MASKED_CYCLES,INSTRUCTION_CACHE_LINES_INVALIDATED,DISPATCH_STALL_FOR_SEGMENT_LOAD,ITLB_RELOADS,GART,SIZED_COMMANDS,RETIRED_INSTRUCTIONS,HYPERTRANSPORT_LINK0,DR2_BREAKPOINT_MATCHES,RETIRED_X87_OPS,INSTRUCTION_CACHE_VICTIMS,DATA_CACHE_ACCESSES,DATA_PREFETCHES,CPU_COMMAND_LATENCY_TO_TARGET_NODE_0_3_4_7,DATA_CACHE_REFILLS_FROM_SYSTEM,PERF_COUNT_HW_CACHE_REFERENCES,PERF_COUNT_HW_BRANCH_INSTRUCTIONS,PIPELINE_RESTART_DUE_TO_SELF_MODIFYING_CODE,REQUESTS_TO_L2,RETIRED_TAKEN_BRANCH_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,RETIRED_BRANCH_RESYNCS,PREFETCH_INSTRUCTIONS_DISPATCHED,PERF_COUNT_HW_CACHE_ITLB,CANCELLED_STORE_TO_LOAD_FORWARD_OPERATIONS,LFENCE_INST_RETIRED,RETIRED_MISPREDICTED_BRANCH_INSTRUCTIONS,MEMORY_CONTROLLER_REQUESTS,RETIRED_SERIALIZING_OPS,PERF_COUNT_SW_PAGE_FAULTS_MIN,DISPATCH_STALL_FOR_SEGQUERY,FPU_EXCEPTIONS,PERF_COUNT_SW_CPU_MIGRATIONS,RETIRED_FAR_CONTROL_TRANSFERS,LS_BUFFER_2_FULL_CYCLES,L2_CACHE_MISS,DISPATCHED_FPU,PREFETCH_QUERY,INTERRUPTS_TAKEN,PROBE,MFENCE_INST_RETIRED,L1_ITLB_MISS_AND_L2_ITLB_HIT,RETIRED_FASTPATH_DOUBLE_OP_INSTRUCTIONS,CYCLES_NO_FPU_OPS_RETIRED,IO_TO_DRAM_REQUESTS_TO_TARGET_NODE,DISPATCH_STALL_FOR_REORDER_BUFFER_FULL,PERF_COUNT_SW_PAGE_FAULTS_MAJ,MISALIGNED_ACCESSES,DECODER_EMPTY,L3_FILLS_CAUSED_BY_L2_EVICTIONS,PERF_COUNT_HW_CACHE_BPU,DISPATCH_STALL_FOR_FAR_TRANSFER_OR_RSYNC,RETIRED_NEAR_RETURNS,RETIRED_NEAR_RETURNS_MISPREDICTED,L3_EVICTIONS,PERF_COUNT_SW_CONTEXT_SWITCHES,MEMORY_CONTROLLER_SLOT_MISSES,INSTRUCTION_CACHE_FETCHES,INEFFECTIVE_SW_PRQUERY,DISPATCH_STALL_FOR_FPU_FULL,PERF_COUNT_HW_INSTRUCTIONS,L1_ITLB_MISS_AND_L2_ITLB_MISS,RETIRED_CPUID_INSTRUCTIONS,SFENCE_INST_RETIRED,HYPERTRANSPORT_LINK2,RETIRED_UOPS,CPU_READ_COMMAND_LATENCY_TO_TARGET_NODE_4_7,DR3_BREAKPOINT_MATCHES,INSTRUCTION_CACHE_REFILLS_FROM_SYSTEM,L1_DTLB_AND_L2_DTLB_MISS,THERMAL_STATUS_AND_ECC_ERRORS,PERF_COUNT_HW_CACHE_L1I,ITLB_RELOADS_ABORTED,DISPATCH_STALLS,PERF_COUNT_HW_CACHE_L1D,PERF_COUNT_SW_CPU_CLOCK,PAGE_SIZE_MISMATCHES,SCRUBBER_SINGLE_BIT_ECC_ERRORS,DATA_CACHE_MISSES,L1_DTLB_HIT,PERF_COUNT_HW_CACHE_LL,MICROARCHITECTURAL_LATE_CANCEL_OF_AN_ACCESS,CPU_TO_DRAM_REQUESTS_TO_TARGET_NODE,RETIRED_INDIRECT_BRANCHES_MISPREDICTED,IBS_OPS_TAGGED,MICROARCHITECTURAL_EARLY_CANCEL_OF_AN_ACCESS,CACHE_BLOCK,DR1_BREAKPOINT_MATCHES,MEMORY_CONTROLLER_BYPASS,READ_REQUEST_TO_L3_CACHE,QUADWORDS_WRITTEN_TO_SYSTEM,DCACHE_MISSES_BY_LOCKED_INSTRUCTIONS,PIPELINE_RESTART_DUE_TO_PROBE_HIT,INSTRUCTION_CACHE_REFILLS_FROM_L2,SYSTEM_READ_RESPONSES,INSTRUCTION_FETCH_STALL,PERF_COUNT_HW_CACHE_DTLB,DR0_BREAKPOINT_MATCHES,RETURN_STACK_HITS,DRAM_ACCESSES_PAGE,DATA_CACHE_REFILLS,DISPATCH_STALL_FOR_LS_FULL,
38048642,190700907,672,119284,167665,3956675,4546213,82624,46071,5568431,263020069,2485802,535137111,44061,4032403,0,52387,1301413,0,12239,3794529,0,4319580,47820691,17356,4051446,0,207194,285333,83929745,11802,533641403,258639327,1460847,5728034,0,33826886,0,11218939,5294469,18478737,679,1195725,71884,0,34220,444488999,258628769,0,0,4033779,236396387,0,2689,1458050,147889343,92881087,0,17046304,54626687,12573,109218,7614,0,1384066,39,5292904,10895298,3209,12572,75608,0,57,40596,22708839,2739575,4096626,45394,377,9419206,85726,1497002,1098675,567578338,1144,28762361,1,377244,150219935,127323,5181688,428184,7799640,175320,20837,295,15591098,155059576,12333,9140,426960079,57332,217,20,175486691,505404950,0,0,817728,137427,464403835,4536290,21317,166033377,3042672,262985619,0,0,3036881,236418381,1775831,20269157,6724487,1487946,0,79431622,6187228,0,8954,55597854,7371810,42662,107610,3214714,2278896,372134657,0,0,11064827,6112725,4089794,60390427,
6539578,282845118,189,62897,446364,6199870,5967689,1596454931647,14952,117175041074712,292512551,167864,110145748,12054,10604755,0,22736,1892461,0,3801,2723950,0,6364790,61900249,54826,248548,0,105824,122591,67421332,21975,30652539,281756437,24627942267191,13674884,0,95717785,0,24321934,3588787,9004939,273,866261,43920,0,51368,357562446,281680585,0,0,10411722,486818475,0,720,3959983,5080758,76959759,0,30591937,54015109,8097,96428,1256,0,9500537,10,3300008,18463237,1191,8097,0,0,35,32293,104122427,4605585,70404757601534,0,33,10287952,103552,609370,5718,704820764,250,83963886,0,6319879762458,16766634,202597,95823228501145,647392,7282073,192700,17447,1622,25169884,154579994,0,5240,13343740,8124,280,12,251542786,487566103,0,0,737266,2505529117642,9629552136022119,12717052,9664,23339414,5525582,292576726,0,0,5581662,312398344,2133797,402067860840794,10361594,1130189,0,7863677,8574184,0,171480646688,76321010,2878520,9078,97916,9867558,799541,93974979,0,0,1779269,10604886,9567428,134334300,
421234095,122920312,232,431652,169620,2268709,3961637,138299304687,135038,10841595587743,115461476,90802,5407343147,7611,3396754,0,175745,650449,0,37307,473723,0,2176526,41883807,86870,26674744,0,692751,902761,30118596,50435,3318384218,98953873,465876147611,5282578,0,26995071,0,7466079,429248,10221266,45,4404185,246561,0,64537,126893343,98852499,0,0,3395129,43518121,0,9399,1474414,854193708,26143377,0,11006302,16454755,48213,488057,143444,0,2295588,127,489045,6133529,10297,48209,0,0,217,205302,33434072,1276798,634897331544606,0,3190,4877864,13181,2415,37790,222535728,3792,49385706,0,200031708389,1416595949,51277,1037764695983,161438,36079956,1288971,10579,3263,10715701,28624097,0,34363,2459075989,7348,853,83,102081062,186285532,0,0,154193,18350923273,931915440976,3376798,1072,2108101554,1950247,116009075,0,0,2555993,69047604,966311,44620739975724,3632183,4670158,0,620892941,3279132,0,13211071250,28863027,101658086,698679,14771,3242578,28363733,125818660,0,0,3542446,3813217,3720452,46691871,
17933527,124467308,169,598557,166868,2297419,3843504,13224984085,7356,4377505865561,113886436,102485,142137506,5466,3583422,0,370449,586993,0,4867,523722,0,2050127,40350669,80205,4576933,0,37813,49280,18392909,49131,208767520,101309037,263124987994,5106287,0,27148208,0,7499604,506755,9018936,2347,7845818,142513,0,62551,80521231,101199126,0,0,3259832,50603689,0,4873,1386200,42324629,26025953,0,11021243,16817638,4029,101945,33847,0,2160296,18,552096,6430901,22401,4029,0,0,18,109770,34562875,1294626,262310248126690,0,18,4779325,14292,5261203,42651,223180597,478,47642668,0,937898608305,4650739,52949,1122885781969,162939,8540425,384154,9399,2997,10728670,30926976,0,45565,176858124,3785,192,11,103401109,118174611,0,0,100201,32237660959,2386764695656,3157614,728,172078414,1779488,114428629,0,0,2483542,64474237,899888,40774909605657,3730144,14235599,0,9632856,3316562,0,636873410,29191007,6440456,123689,17970,3483232,1089593,102503136,0,0,2947748,3829444,3628092,49488341,
16800431,2707037623,139,742477327543,3116224,3650980,63562126,48413241603,40307800,2513297963070,2502580955,44499,142066371,23463,72799031,0,227626613398,689811,0,18228,23593546,0,45874597,599818527,853371,3496473,0,15333690,10451393,13281400,455026,92803185,163290218,221316974114,102813383,0,658162913,0,160432085,27598243,11298503,1148,1721562,61169,0,53487,59402464,163203632,0,0,68337320,2175715481,0,11795,29029382,27633382,678520022,0,218628270,475235889,169904,16389,25242,0,46466553,87,29501724,159321563,13144529757,169901,0,0,290,70563,728769665,29959712,282363446355898,0,3210,6889527,773044,2303333,18520,5542628011,42164,691475242,3,2755029452,1439747141,106008,44373169489,4851386,1234413,126486,10908,30385,18155013,1049813396,0,4381738297473,7423378,2231,1192,81,17442234,86219093,0,0,5049841,18157551908,586279418458,81522921,521,216200523,40311144,2506741304,0,0,45808702,2113529146,17911038,22414965214542,92227182,2717168,0,13466120,5333011,0,8452953827,44403982,5948383,95238,710971,67749648,924854,87255528,0,0,2604393,86575277,72204769,1067034634,
478693297,921172203,245,992217248,204509,70922965,107092316,127387612816,296877667,1328430475955,115230935,117090,6064919783,2164,4286997,0,252087243,18112443,0,57576,16326482,0,79852261,990444794,370079,4763811,0,51254695,69809435,865659940,206987,226693825,3702478909,13649007518,170156597,0,254839802,0,7929416,16573302,9895063,436,14430,41353,0,2201058,4326587357,3700699478,0,0,3611383,695938987,0,0,48793083,20941408,18427479,0,13509817,11113433,353,15154,18346,0,16575813,0,19471368,53184795,8221222,354,0,0,6,553053,217138441,1187468,169202439068703,0,68,278729421,201722,7240118,48730,1261718480,31191,1143713220,0,5203459833,7963733,2239712,45076591133,7881175,1287461,117098,8146,13167,309327353,8838915,0,4717607096099,103695298,5800,1677,0,2274301450,5630402955,0,0,90148,332043065561,1382404247348,26623752,130182,2701847579,13512919,116365084,0,0,77235140,485233687,7121256,46251664974028,33510958,1434881,0,981660919,207037514,0,23279536348,920425344,124255406,76188,168394,4196830,33886640,198762402,0,0,6075999,31184285,118418861,1644489629,
20521967,4647494696,91,0,1755646,92042050,71315156832556,128157764467,179518083,857014352114,1423001039,23218210,1774657056,18110,42021580,0,0,25618511,0,0,9612193,0,46078,38998859,1864645,2941206,0,30333194,59006099,45406134,20827,129320001,35525111,1449214485,150977938120817,0,682051104,0,91908617,63233149,24951324,3655,25785,570168,0,966406168384,278668354,35508563,0,0,39529890,3919263867,0,0,44957903259762,31412782,356073967,0,124615097,268734866,7,16422,344229,0,64357403,0,11683800,314837800,0,7,0,0,12,370,1562688459,18090810,94659162459061,0,1183,168966262961857,629049,2263,9662559,10077582626,0,64608251,0,8522868930,537368287,2872078,225212279248,5905317953925,1361401,118351,468454,690,313938654,562673452,0,3992373147070,93083507,615555,0,0,19079811,470184108,0,0,5064201,424755231098,305106195538,3293020,71533,224460314,459211,1425612998,0,0,63400280504584,4207759606,4557571,403192233326,170274672,5427087,0,16789768,129164586611833,0,20231614209,1168622152,38299449,1594694,7717288,36957866,11930503,141592650,0,0,3661866,124903259,101601252944297,2511386989843954,
200063013,210296563,59,0,653835,1671432,6891900338,100792601459,107936416,1512193054205,5438601797,10422182,113266924,2333,2057420,0,0,2246438,0,0,39132928,0,123627,84830439,2455,2420346,0,3614852,55765511,541709949,1078771,70802554,6521494215,0,222109794334,0,86983593,0,53469617,762016,15065012,7,34366,6420,0,17865628,2696616205,6520030957,0,0,15203863,2952045258,0,0,101177751692,3910690152,1377619003,0,71323655,172957671,251,2016548,27902,0,53571,0,59135822,9746892,0,251,0,0,6,1924,111222970,11099371,54220641121318,0,55,231571215642,1582906,1905,4303419,80163795,0,40479325,4,8850808373,133925959,48979,63049514194,1392145676,152121227,5857492,20969,1176,11266044,317564118,0,3190093881182,13211821,166970,0,0,1816696018,3613115904,0,0,3651871,165241825906,466162983708,131015526,776,1129312956,74023783,5447861545,0,0,105766179089,1875751441,47287346,342861754247,1664431,26708988,0,312233621,96599588856,0,10953573577,34371975,14002199,97875,7204623,121848139,4747612,120347067,0,0,3091262,7248193,130490291238,720233682937971,
52089356,126768366,14474,0,7785409,240801,0,88654890985,113817477,255827470308,660082949,35374599,68031919,932058,138828563,0,0,2039018,0,0,344198,0,143809,153156261,2750,2970380,0,15572337,33879963,435664028,1075,149578792,713866065,0,76298499138,0,73765447,0,16336500,2615889,990829723,12,36598,1561,0,0,10580504,714854991,0,0,2759347,2081935874,0,0,94714847534,31466099,7874811,0,16578412,942087968,1012,96623,132768,0,136145,0,2483113,10790609,0,1012,0,0,17,667,138576579,5615107,48492706041203,0,447,368138830668,0,10928300,14321276,212747223,0,48764032,0,13381268423,208085550,143053,61288648597,0,8544095,359570,1021744,38760,19332747,48354395,0,418405334896,127874778,60360,0,0,2771675184,16511362,0,0,16982702,17931197727,408112121274,33873,369,369143562,2709789,654083079,0,0,34247421857,2379387396,565095,3468244583322,1440170,4927,0,164987663,2041393736,0,10469778807,128413225,8286546,595472,0,114286,2592368,10475168785,0,0,291753328,9428573,47222539415,426681708220138,
70375576,459071212,31,0,7383,5233652,0,89496890842,114813577,771665631479,624980820,2556415110,16818373857,142131,32625,0,0,1492228,0,0,214013,0,112857,202545332,10039,4614136,0,27870931,26084382,2470845130,2706,227057586,718017136,0,24570123071,0,20208900,0,450784563,6878150,33823100,2,19507,423,0,0,2159045805,718558722,0,0,148783979,1733184532,0,0,22016647177,44750039,83156072,0,628128657,22607801,1221,516118,60815,0,151245,0,5787463,6942385,0,1222,0,0,15,1486,240444323,120104022,49861790922369,0,1578,121517631777,0,0,1271150,184104132,0,53373014,0,4634622562,895283710,212655,38208453873,0,40109375,1642402,484886310446,56856,24058950,2763286662,0,2085566668231,50807731,23313,0,0,0,2887040376,0,0,8836,131761760776,11313789486292,24610,61420,1248086531,268798,622236183,0,0,97694347126,1365323208,21370,3899731204392,11162261,40188,0,3003866984,236317422977,0,10805086412,104076783,374214933,278633,0,94656,103653608,97596618,0,0,4375951,11307496,160116939859,182871619304993,
