DISPATCH_STALL_FOR_BRANCH_ABORT,CPU_READ_COMMAND_LATENCY_TO_TARGET_NODE_0_3,PIPELINE_RESTART_DUE_TO_INSTRUCTION_STREAM_PROBE,SEGMENT_REGISTER_LOADS,RETURN_STACK_OVERFLOWS,L3_CACHE_MISSES,DISPATCH_STALL_WAITING_FOR_ALL_QUIET,MEMORY_CONTROLLER_TURNAROUNDS,RETIRED_SSE_OPERATIONS,CPU_IO_REQUESTS_TO_MEMORY_IO,PERF_COUNT_SW_TASK_CLOCK,RETIRED_MMX_AND_FP_INSTRUCTIONS,CPU_CLK_UNHALTED,INTERRUPTS_MASKED_CYCLES_WITH_INTERRUPT_PENDING,INSTRUCTION_CACHE_MISSES,SMIS_RECEIVED,FP_SCHEDULER_CYCLES,CPU_READ_COMMAND_REQUESTS_TO_TARGET_NODE_0_3,CPU_READ_COMMAND_REQUESTS_TO_TARGET_NODE_4_7,RETIRED_CLFLUSH_INSTRUCTIONS,RETIRED_TAKEN_BRANCH_INSTRUCTIONS_MISPREDICTED,HYPERTRANSPORT_LINK3,DISPATCH_STALL_FOR_SERIALIZATION,DISPATCH_STALL_FOR_RESERVATION_STATION_FULL,INEFFECTIVE_SW_PREFETCHES,PERF_COUNT_HW_CACHE_MISSES,GLOBAL_TLB_FLUSHES,RETIRED_MOVE_OPS,DISPATCHED_FPU_OPS_FAST_FLAG,RETIRED_BRANCH_INSTRUCTIONS,MEMORY_REQUESTS,PERF_COUNT_HW_CPU_CYCLES,HYPERTRANSPORT_LINK1,L1_DTLB_MISS_AND_L2_DTLB_HIT,DATA_CACHE_LINES_EVICTED,MEMORY_CONTROLLER_PAGE_TABLE_OVERFLOWS,LOCKED_OPS,CPU_REQUESTS_TO_TARGET_NODE_0_3_4_7,L2_FILL_WRITEBACK,PERF_COUNT_HW_BRANCH_MISSES,INTERRUPTS_MASKED_CYCLES,INSTRUCTION_CACHE_LINES_INVALIDATED,DISPATCH_STALL_FOR_SEGMENT_LOAD,ITLB_RELOADS,GART,SIZED_COMMANDS,RETIRED_INSTRUCTIONS,HYPERTRANSPORT_LINK0,DR2_BREAKPOINT_MATCHES,RETIRED_X87_OPS,INSTRUCTION_CACHE_VICTIMS,DATA_CACHE_ACCESSES,DATA_PREFETCHES,CPU_COMMAND_LATENCY_TO_TARGET_NODE_0_3_4_7,DATA_CACHE_REFILLS_FROM_SYSTEM,PERF_COUNT_HW_CACHE_REFERENCES,PERF_COUNT_HW_BRANCH_INSTRUCTIONS,PIPELINE_RESTART_DUE_TO_SELF_MODIFYING_CODE,REQUESTS_TO_L2,RETIRED_TAKEN_BRANCH_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,RETIRED_BRANCH_RESYNCS,PREFETCH_INSTRUCTIONS_DISPATCHED,PERF_COUNT_HW_CACHE_ITLB,CANCELLED_STORE_TO_LOAD_FORWARD_OPERATIONS,LFENCE_INST_RETIRED,RETIRED_MISPREDICTED_BRANCH_INSTRUCTIONS,MEMORY_CONTROLLER_REQUESTS,RETIRED_SERIALIZING_OPS,PERF_COUNT_SW_PAGE_FAULTS_MIN,FPU_EXCEPTIONS,PERF_COUNT_SW_CPU_MIGRATIONS,RETIRED_FAR_CONTROL_TRANSFERS,LS_BUFFER_2_FULL_CYCLES,L2_CACHE_MISS,DISPATCHED_FPU,INTERRUPTS_TAKEN,PROBE,MFENCE_INST_RETIRED,L1_ITLB_MISS_AND_L2_ITLB_HIT,RETIRED_FASTPATH_DOUBLE_OP_INSTRUCTIONS,CYCLES_NO_FPU_OPS_RETIRED,IO_TO_DRAM_REQUESTS_TO_TARGET_NODE,DISPATCH_STALL_FOR_REORDER_BUFFER_FULL,PERF_COUNT_SW_PAGE_FAULTS_MAJ,MISALIGNED_ACCESSES,DECODER_EMPTY,L3_FILLS_CAUSED_BY_L2_EVICTIONS,PERF_COUNT_HW_CACHE_BPU,DISPATCH_STALL_FOR_FAR_TRANSFER_OR_RSYNC,RETIRED_NEAR_RETURNS,RETIRED_NEAR_RETURNS_MISPREDICTED,L3_EVICTIONS,PERF_COUNT_SW_CONTEXT_SWITCHES,MEMORY_CONTROLLER_SLOT_MISSES,INSTRUCTION_CACHE_FETCHES,DISPATCH_STALL_FOR_FPU_FULL,PERF_COUNT_HW_INSTRUCTIONS,L1_ITLB_MISS_AND_L2_ITLB_MISS,RETIRED_CPUID_INSTRUCTIONS,SFENCE_INST_RETIRED,HYPERTRANSPORT_LINK2,RETIRED_UOPS,CPU_READ_COMMAND_LATENCY_TO_TARGET_NODE_4_7,DR3_BREAKPOINT_MATCHES,INSTRUCTION_CACHE_REFILLS_FROM_SYSTEM,L1_DTLB_AND_L2_DTLB_MISS,THERMAL_STATUS_AND_ECC_ERRORS,PERF_COUNT_HW_CACHE_L1I,ITLB_RELOADS_ABORTED,DISPATCH_STALLS,PERF_COUNT_HW_CACHE_L1D,PERF_COUNT_SW_CPU_CLOCK,PAGE_SIZE_MISMATCHES,SCRUBBER_SINGLE_BIT_ECC_ERRORS,DATA_CACHE_MISSES,L1_DTLB_HIT,PERF_COUNT_HW_CACHE_LL,MICROARCHITECTURAL_LATE_CANCEL_OF_AN_ACCESS,CPU_TO_DRAM_REQUESTS_TO_TARGET_NODE,RETIRED_INDIRECT_BRANCHES_MISPREDICTED,IBS_OPS_TAGGED,MICROARCHITECTURAL_EARLY_CANCEL_OF_AN_ACCESS,CACHE_BLOCK,DR1_BREAKPOINT_MATCHES,MEMORY_CONTROLLER_BYPASS,READ_REQUEST_TO_L3_CACHE,QUADWORDS_WRITTEN_TO_SYSTEM,DCACHE_MISSES_BY_LOCKED_INSTRUCTIONS,PIPELINE_RESTART_DUE_TO_PROBE_HIT,INSTRUCTION_CACHE_REFILLS_FROM_L2,SYSTEM_READ_RESPONSES,INSTRUCTION_FETCH_STALL,PERF_COUNT_HW_CACHE_DTLB,DR0_BREAKPOINT_MATCHES,RETURN_STACK_HITS,DRAM_ACCESSES_PAGE,DATA_CACHE_REFILLS,DISPATCH_STALL_FOR_LS_FULL,
35267326,193262260,506,120651,119383,2187549,4206848,11719,46073,1900775,633596192,2642398,460052672,98987,4873745,0,40452,1731669,0,12239,4068767,0,4663621,40374972,30592,5477513,0,237172,305598,84098755,20461,554931823,478330012,1427964,6744318,141288,26413788,0,12614288,5621517,28928168,578,1318660,75614,9191,171632,444252753,520025256,0,0,4370040,224753806,0,98636,1804390,166613271,88353004,5,13187794,57401526,14646,133924,10135,0,923495,3,5647527,6031080,3297,14645,0,44,47888,10129837,3160253,4075078,1568,3799227,85848,1485371,1098559,462460325,62860,22788662,1,381332,148776593,78581,5106286,507683,9548566,265051,1796,771,9650819,155037702,12187,486852548,73221,217,20,478504379,507384024,19192,0,984249,136852,926547334,5696367,27554,159171131,3736131,634213077,0,0,3465072,248435523,2549647,17896243,6262300,1546460,0,81314877,3306640,0,885,10419469,5688191,46860,42693,3889444,2278261,359123706,0,0,12394053,3393241,4679247,56768040,
9699480,304762553,83,226965,570253,2548865,1070821,7359,452267968612,1277732,276993339,56305,285671274,66489,2673188,0,74970,3198047,0,20568,1267776,0,5434328,43564070,53331,2531015,0,2339831253036,3020309361546,116770932,32724,133100810,955439091,2213220,2740943,127593,70148952,0,62168810,1781642,19025668,1853,999791,276455,2835,257972,596112204,955121666,0,0,19488116,450739303,0,34340,832601,27532803,32034559,7,68112326,19679027,14,47742,30610,0,2641958,88,1522840,8831462,5813,14,0,0,8710,25823635,16438937,6701989,210,4846491,366566,63428,22432,5669700908552237,85565,35613826,0,584892,33112774,65645,9166959,160550,2749757,133645,2123,1610,3900802,694210671,226,85680248,2336,569,83,955803170,715870624,202591,0,338595,219496,315129306,2717098,32513,39487551,1450935,278771092,0,0,1134959,128560040,944741,34233483,8422505,137582,0,121478365,4116306,0,440,7657149,3903722,143049,145851,2334547,2007417,112568013,0,0,3409550,1420497,1765529,21067529,
10815311,71635919,1424,204373,33472,147503,5567010,56768,171173363713505,9162657,1945372185,892441759,179688376,185706,14217049,0,59021,1070117,0,6753,6629686,0,27651954783757,1060284192230002,131354,19105707,0,86455715770015,8701734931835,23179395,91847,1578732789,992459093,70826,2728095,84394,32415896,0,56464347,8795507,66781588,1346,7146207315823,224765,903725064,236561,103640628,992748967,0,0,526378,79545613,0,55755,834995,409596290,185686569,4,3028175,149520716,35397,201505,38876,0,4462134,340,9102301,866302,4359,35395,0,100,79626,12576732,91911,510172789,290,513161,215783,1920083,14701452,1826340282629,203902,678737694195024,0,640770,36175559,13761,1365214,723701,19154572,500405,712,5893,30089060,511543868,15199359,1265779050,165167,216,0,992365750,160462198,93050,0,2305612,230991,3927160677,2753389,2576,45696148,1411121,1949823860,0,0,1103657,1467429073,880634,8616761,621293,1475937,0,275214344,256270,0,4420,1327118,2513257,169010,112526,11911089,1304853,1989449037,0,0,48084917,8289334,1746049,1360011528,
14630762,112357681,905,130611,73376,601236,2050078,7035,125243826521790,3363819,998098131,987506007,1817273884,49592,6428244,0,29741,1322956,0,6619,176126,0,19806819933,338184040092,69438,14383379,0,31893484519571,15204477650783,18083295,1982,614631943,990367653,2587748,38247468,483056,54056915,0,9703989,14764997,26048963,661,5332724209,109121,0,35784,88615975,990463016,0,0,1640113,1135648811,0,8053302668,11275974,77392995,63721179,2,71014593,78852406,13464,270412,428,0,4281751,293,285324,2955474,2287,13463,0,37,95970,77962228,15631324,274322741,378,1580107,133564,848605,15981841,34556779362029,1112,4848311073832,2,20869,50160618,15454,4724119,244538,36434509,675012,1312,2214,7498457,162564658,20336983,941467473,106101,0,0,990336401,118450564,13441857853,0,929182,143901,2004370668,22048639,64899,61934254,19345856,996454321,0,0,16878018,916162503,8814343,60009516,2382247,6480,0,279646178,1012509,0,534,2114783,14953009,82856,251872,5498878,6648562,420588363,0,0,29958871,351562,25087378,1511032469,
148352079,78558878,1156,190,923884,976357,5030101,225,29054436331104,72905,995323169,77555960,795232685,161956,37634,0,2173,1440757,0,20669,10312964,0,222835007384,541917410996,30,6825,0,18063793504049,5664996383959,13835033,6385,745037037,990305195,95836,63899121827314,0,39250525,0,44162272,85063,391530,431,1071684162,73404,0,57081,55739795,990351541,0,0,27535704,776401388,0,0,13601852592156,194242099,110530720,0,2077363,96550598,17053,3566,27071,0,69872,431,14738572,1694015,167,17052,0,1,108,4170702,10178761,223477026,6838,631216,91406,827,451791,135703012375791,2558,16734388181409,0,666551,553452530,118118,6769655,601852,47497355,5497,227,1,9585189,186394157,7318443,1093973299,123309,0,0,990290055,95162202,0,0,1336729,2230,4509008098,14631854,46033865305,1461529634,475694,994676762,0,0,809589,855329781,5433400,954951,1906704,92008,0,229497853,440023,0,57,16600395,16243520,512,103953,26742,6810279,515107795,0,0,53717760,1597529,47413312828361,531136889,
105120241,143631688,41,1373,84985,5746138,8732,326,15974334835304,820098,991865485,104155873,798592586,192303,44671,0,1848,6669583,0,10062,58554,0,128556576496,360275312573,241,90965,0,4273241766096,3093983633467,410418490,80374,772869667,990140958,2184995,20195694941110,0,1063587,0,5853227,319246,1179801,572,694997457149,87528,0,105488,5365025907,990168867,0,0,12952490,737811788,0,0,116553946575,198276524,108273085,0,79816509,93473398,33,179226,894,0,120962,237,356016,3117109,141,33,0,6,442,8567972,178985,208995114,447,219987,15614472980,1116205,1877257,110102634674797,5621,10145404285387,1,327375,354076972,1828,1639876,959053,44134728,6008,267,2909,4691426,192862200,15115051,1063785852,72681,315,52,990132133,3997304618,0,0,1816164,728,1997763507,37422,4542520,405073382,1105992,991565548,0,0,36431365099693,804470039,433608,41790268,2797019,3014711,0,218333252,213745,0,40,809848,11111,983,430321,105222,162860,553886211,0,0,47454430,585792,15219276030886,966076107,
23219993,123311532,788,2851,303057,552416,6976,883,31209204803440,902112,7690120582,132569784,798373446,124265,145890,0,44628,903848,0,3500,369840,0,114600065844,664495708556,697,127460,0,83186943510,977379561731,45716124,5394,5919118304,990059781,106379,0,0,2716407,0,1981049,562359,1686452,313,0,54392,0,401839,1275824557,990078097,0,0,47817,693005471,0,0,24405593272,1443091662,735011824,0,920824,617456226,162,221818,1712,0,107268,151,471495,2874273,3428,162,0,4,594,10366566,1009659,967636526,703,1612715,0,28080,2320659,80150486610505,4402,1343518068985,0,12399,2274886,1153,1463812,930996,204147903,14517,17,255,46015401,1724633946,13996441,6929968328,26665,101,0,990053950,1161001426,0,0,76173,171761,1996805764,92254,9512573,382572291,16150353,7693985460,0,0,614532215642,2890843451,1338,2120104,2584585,1908858,0,852545857,1809527,0,98,1930903,775437,1192,5774,99376,5799506,4921748804,0,0,236811546,19294237,18144558673001,891593938,
7682441,121970706,16,3543,288083,1022862,16098,1818,10453154517901,1274861,995725677,149741701,6283341250,3945,174078,0,22450,729595,0,1243688566,490024,0,5239014022,424164133002,1147,158151,0,4896637367899,1924753909001,112699374,7321,737339889,990008872,129401,0,0,156185111,0,980318,193352,2157711,2,0,13088667566,0,1027558,1187179486,990021773,0,0,91440,517467643,0,0,4817280767,120933318,60432073,0,935893,77855746,281,172951,2032,0,176578,27554316,608466,2625287,1701,282,0,5,3227,106945129,7287,205005023,9806,3895331,0,1500525,2163393,94320011641151,4998,4997618468016,0,27223,2442822,2997,682239,157541784742,38356981,594042,9394,169,8168760,200249406,13793657,843014537,9452687925,35338864,28,990004606,1329228237,0,0,1356199,374,1996202927,62754,9197237,383068487,1455378,995008437,0,0,498106142787,815563135,6039,117722,2543180,2400703,0,235040938,4326062,0,200,1291641,15637699,1166,337905,192548,289765,576059689,0,0,11160987,734825,0,865798465,
156724,125818359,283,28994,2376451,640667,25971,9,966433394956,460212,999481525,155593729,797739446,22753039385,164868,0,77170,1075409,0,0,270068,0,2044651924501,345793583993,1309,147712,0,13822757257573,935237065023,111598494,8232,760382617,989982391,115541,0,0,8231670,0,806999,1204728,2402933,77566797,0,0,0,894120,6592055758277599,989992292,0,0,80855,651215084,0,0,31391710570,205374431,116130857,0,2798316,102756044,147,29050389743,1954,0,198500,0,585310,2884712,5919,147,0,49,176861,10520752,389833,187516247,589,4469407,0,945678,2694014,35297306455809,5209,250701907388903,0,24980,1695972,6724,15212,0,54486700,3028,317,190,7053286,199665174,12968877,1119731303,0,0,18,989979244,1258561091,0,0,223030367495,241354,1995988562,153252,4456018009,3188803785,1518498,998918889,0,0,353676332926,806372590,671,747564,2696202,1833382,0,207461632,2486664,0,22,2449794,1163839,1767,2700,215301,305842,536784689,0,0,55673516,551173,0,848776679,
2062762,119043806,1,10948,29238,1301636,9077157,3127,1043947413888,673672,971280673,162512642,798270687,586470780,224915,0,6686768719,927899,0,0,894532,0,0,428763672258,1490,207459,0,3112821271098,748400150334,733137189544604,9021,770053904,989956539,163264,0,0,112607029,0,1032922,1515067,2550719,0,0,0,0,610648,88983362193636,989964185,0,0,159801,667919688,0,0,24819860474,204634751,112317064,0,2918373,101325207,2236974834,0,2731,0,148856,0,164887,2752191,509352448,2236872549,0,0,69488,14876318,540939,188478032,701,3971706,0,166441568217,2800799,1542188911985433,5468,0,0,47272,1858333,4462,100007,0,51103448,2969,22,467442988,7056855,200270824,11304041,1096066252,0,0,0,989954376,7384122186308622,0,0,0,5558,1995818211,163786,0,400680867,1318464,970866063,0,0,211174199348,793436355,206631,1271249,2619078,336037988092,0,206960698,2304833,0,236,1331271,12983,2917,121121,197866,8015436,551287672,0,0,51814695,667596,0,850240625,
