DISPATCH_STALL_FOR_BRANCH_ABORT,CPU_READ_COMMAND_LATENCY_TO_TARGET_NODE_0_3,PIPELINE_RESTART_DUE_TO_INSTRUCTION_STREAM_PROBE,SEGMENT_REGISTER_LOADS,RETURN_STACK_OVERFLOWS,L3_CACHE_MISSES,DISPATCH_STALL_WAITING_FOR_ALL_QUIET,MEMORY_CONTROLLER_TURNAROUNDS,RETIRED_SSE_OPERATIONS,CPU_IO_REQUESTS_TO_MEMORY_IO,PERF_COUNT_SW_TASK_CLOCK,RETIRED_MMX_AND_FP_INSTRUCTIONS,CPU_CLK_UNHALTED,INTERRUPTS_MASKED_CYCLES_WITH_INTERRUPT_PENDING,INSTRUCTION_CACHE_MISSES,SMIS_RECEIVED,FP_SCHEDULER_CYCLES,CPU_READ_COMMAND_REQUESTS_TO_TARGET_NODE_0_3,CPU_READ_COMMAND_REQUESTS_TO_TARGET_NODE_4_7,RETIRED_CLFLUSH_INSTRUCTIONS,RETIRED_TAKEN_BRANCH_INSTRUCTIONS_MISPREDICTED,HYPERTRANSPORT_LINK3,DISPATCH_STALL_FOR_SERIALIZATION,DISPATCH_STALL_FOR_RESERVATION_STATION_FULL,INEFFECTIVE_SW_PREFETCHES,PERF_COUNT_HW_CACHE_MISSES,GLOBAL_TLB_FLUSHES,RETIRED_MOVE_OPS,DISPATCHED_FPU_OPS_FAST_FLAG,RETIRED_BRANCH_INSTRUCTIONS,MEMORY_REQUESTS,PERF_COUNT_HW_CPU_CYCLES,HYPERTRANSPORT_LINK1,L1_DTLB_MISS_AND_L2_DTLB_HIT,DATA_CACHE_LINES_EVICTED,MEMORY_CONTROLLER_PAGE_TABLE_OVERFLOWS,LOCKED_OPS,CPU_REQUESTS_TO_TARGET_NODE_0_3_4_7,L2_FILL_WRITEBACK,PERF_COUNT_HW_BRANCH_MISSES,INTERRUPTS_MASKED_CYCLES,INSTRUCTION_CACHE_LINES_INVALIDATED,DISPATCH_STALL_FOR_SEGMENT_LOAD,ITLB_RELOADS,GART,SIZED_COMMANDS,RETIRED_INSTRUCTIONS,HYPERTRANSPORT_LINK0,DR2_BREAKPOINT_MATCHES,RETIRED_X87_OPS,INSTRUCTION_CACHE_VICTIMS,DATA_CACHE_ACCESSES,DATA_PREFETCHES,CPU_COMMAND_LATENCY_TO_TARGET_NODE_0_3_4_7,DATA_CACHE_REFILLS_FROM_SYSTEM,PERF_COUNT_HW_CACHE_REFERENCES,PERF_COUNT_HW_BRANCH_INSTRUCTIONS,PIPELINE_RESTART_DUE_TO_SELF_MODIFYING_CODE,REQUESTS_TO_L2,RETIRED_TAKEN_BRANCH_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,RETIRED_BRANCH_RESYNCS,PREFETCH_INSTRUCTIONS_DISPATCHED,PERF_COUNT_HW_CACHE_ITLB,CANCELLED_STORE_TO_LOAD_FORWARD_OPERATIONS,LFENCE_INST_RETIRED,RETIRED_MISPREDICTED_BRANCH_INSTRUCTIONS,MEMORY_CONTROLLER_REQUESTS,RETIRED_SERIALIZING_OPS,PERF_COUNT_SW_PAGE_FAULTS_MIN,FPU_EXCEPTIONS,PERF_COUNT_SW_CPU_MIGRATIONS,RETIRED_FAR_CONTROL_TRANSFERS,LS_BUFFER_2_FULL_CYCLES,L2_CACHE_MISS,DISPATCHED_FPU,INTERRUPTS_TAKEN,PROBE,MFENCE_INST_RETIRED,L1_ITLB_MISS_AND_L2_ITLB_HIT,RETIRED_FASTPATH_DOUBLE_OP_INSTRUCTIONS,CYCLES_NO_FPU_OPS_RETIRED,IO_TO_DRAM_REQUESTS_TO_TARGET_NODE,DISPATCH_STALL_FOR_REORDER_BUFFER_FULL,PERF_COUNT_SW_PAGE_FAULTS_MAJ,MISALIGNED_ACCESSES,DECODER_EMPTY,L3_FILLS_CAUSED_BY_L2_EVICTIONS,PERF_COUNT_HW_CACHE_BPU,DISPATCH_STALL_FOR_FAR_TRANSFER_OR_RSYNC,RETIRED_NEAR_RETURNS,RETIRED_NEAR_RETURNS_MISPREDICTED,L3_EVICTIONS,PERF_COUNT_SW_CONTEXT_SWITCHES,MEMORY_CONTROLLER_SLOT_MISSES,INSTRUCTION_CACHE_FETCHES,DISPATCH_STALL_FOR_FPU_FULL,PERF_COUNT_HW_INSTRUCTIONS,L1_ITLB_MISS_AND_L2_ITLB_MISS,RETIRED_CPUID_INSTRUCTIONS,SFENCE_INST_RETIRED,HYPERTRANSPORT_LINK2,RETIRED_UOPS,CPU_READ_COMMAND_LATENCY_TO_TARGET_NODE_4_7,DR3_BREAKPOINT_MATCHES,INSTRUCTION_CACHE_REFILLS_FROM_SYSTEM,L1_DTLB_AND_L2_DTLB_MISS,THERMAL_STATUS_AND_ECC_ERRORS,PERF_COUNT_HW_CACHE_L1I,ITLB_RELOADS_ABORTED,DISPATCH_STALLS,PERF_COUNT_HW_CACHE_L1D,PERF_COUNT_SW_CPU_CLOCK,PAGE_SIZE_MISMATCHES,SCRUBBER_SINGLE_BIT_ECC_ERRORS,DATA_CACHE_MISSES,L1_DTLB_HIT,PERF_COUNT_HW_CACHE_LL,MICROARCHITECTURAL_LATE_CANCEL_OF_AN_ACCESS,CPU_TO_DRAM_REQUESTS_TO_TARGET_NODE,RETIRED_INDIRECT_BRANCHES_MISPREDICTED,IBS_OPS_TAGGED,MICROARCHITECTURAL_EARLY_CANCEL_OF_AN_ACCESS,CACHE_BLOCK,DR1_BREAKPOINT_MATCHES,MEMORY_CONTROLLER_BYPASS,READ_REQUEST_TO_L3_CACHE,QUADWORDS_WRITTEN_TO_SYSTEM,DCACHE_MISSES_BY_LOCKED_INSTRUCTIONS,PIPELINE_RESTART_DUE_TO_PROBE_HIT,INSTRUCTION_CACHE_REFILLS_FROM_L2,SYSTEM_READ_RESPONSES,INSTRUCTION_FETCH_STALL,PERF_COUNT_HW_CACHE_DTLB,DR0_BREAKPOINT_MATCHES,RETURN_STACK_HITS,DRAM_ACCESSES_PAGE,DATA_CACHE_REFILLS,DISPATCH_STALL_FOR_LS_FULL,
30637803,122335977,530,85269,131310,2681703,2952034,76357,46071,4262431,838682978,2510575,506707251,68259,5579309,0,41747,2064541,0,12239,4243276,0,3966834,36248382,220764,5649759,0,238002,307378,82012534,31410,559287101,415131588,1392089,6690525,0,16304291,44361,14014728,6169999,21250543,346,1164643,179649,212642,387962,437817055,415015860,0,0,4877638,235518635,0,2504,1777076,167708777,111498502,1,16473533,55473956,14827,139334,16584,0,1022074,147,5805646,5266298,3057,14826,0,87,41302,8396466,3430383,4150899,741,3571612,117723,1307179,1098688,515997699,3399,16003977,1,389674,140180080,69942,5300986,445412,9792669,288583,4778,1193,6933459,163199270,7062,494336115,52545,277,26,415253508,496740272,14568,0,1410819,222760,848126413,6062578,53796,151500187,3695597,840236838,0,0,3543449,302270349,1814992,21569827,4228070,1594790,0,78206425,3405083,0,26175,17708535,7013459,48434,41664,4167723,2666479,233503377,0,0,8708255,8431701,4663274,42894113,
9132026,2870769352180814,8476,1443724,391246,10807847,35481892261407,98247,0,1514712,1124550847,593558,0,68876,95333250678845,0,489879,533146,0,111847220459,136250536584793,0,3729580,27998237,84256,3021823,0,0,0,102407512,41049,173405256,7077069828290623,2287736,8242619,0,516470724005041,446926619804,11078716,6558980,35520926,265,536979,148044,353172,100218,546607968,7073152340497593,0,0,11809420,74170902,0,112,2179386,44383092,132726767,9,11344918,1928469570676839,2,63802,422229822056,0,1644895,343,184237724664786,129609249411059,35235,2,0,1,1493245496957,237659112670738,1442940,1738517,180,616668,161501,18449048665666,193343,248926372,914081474489,29651675,0,607741,35951813,172489,3576926,5876532642992,4278590,158811,135,3973,500386,48375921,89020854335,138620527,623322,39,38,7081165777985654,685161763,652,0,21392212470337,381271,309279420,3324868,46336,47879363,1598824,1132414749,0,0,3740000,70956837,307723,61570786,84884995284765,202415,0,1197201531941883,530388,0,20985,46666651,0,1162208904357,1300284581632,73928409618976,0,4460719572,0,0,162706708,0,5915690,543339190259620,
8837504,339069394745232,2073,752906,1264887,3034638,3765618194761,56317,72819,13028960,7267744416761419,4099164,3734750875,234426,2831671570128,0,6018,427504,0,2807946705,456456155037,0,13545942,151634541,1456913,3146769,0,383132,504088,11889717,245764,163412873,62607224293428,265071,1561958,0,22710995672558,17793646273,87120228,35454667041481,121547808,604,3506309,339090,140020,2175110,56926389,64714669309728,0,0,25355561,31693974,0,4,201045,29832684,1108758941245377,0,99488092,1512553682095510,53201,531694,93392384485,0,1273840,2634,328647222252,11672058600007,2533,53199,0,175,507529218,9455172279272,23666725,6707107,208,25528017,526,1956749673750,1677434,2468316106,334791848031,82784602,2,1022256,46765744,1763,12630784,4253609697,123708472,1378779,17401,22564,0,1438456810,16431510323038,99384429,84394,19,0,60394851899271,90371523,27,0,14362543896,693389,3491713539,27442195,261863,51904581,19594141,7286195919398467,0,0,942373,2733985146,10835577,6797395,2725205689592,4428740,0,37756787687093,26647742,0,10472,884113,60740955,247173779044,39092816245,4987081041858,20536457,921633133,0,0,56038248,20063653,1325972,38511069009398,
369393690,10607987806597,1825,14428,3398790,4176285,13183692671,66981,47965,7674297,600418156,1864852,76224374,943,7228497495360,0,35852,655765,0,0,5764764734395,0,9538141,220988756,717680,34260156,0,345228,113127,11774890,805,5062751187,16984504389782,5513850,78792420,0,81611431287224,0,2610786,13210113715499,7315809,1,540595,1129,82392,553844,57673154,17543214226214,0,0,988616,45072127,0,113,19243806,1467695343,393044434719602,0,2443869,187748687802765,2436,325512,90056405298,0,950042,2046,746294715473,3058428593169,3303,2436,0,85,0,136457113707576,3049234,3199015,10404,5585842,1192,728751255947,840701,510390444,508291049178,348879,0,17583,1540671778,51668,8664793,79498805568,146890149,91911,1801,2789,152470,507141202,26870307154987,5176366567,12812,0,0,16387287654564,90034375,652,0,20495228986,1976030,1733489162,12530530,115201,2690001353,45449,177803015246,0,0,39403764,720445400,921329,146365147,693409541661,124670,0,26468038231905,1772891,0,15866,11762979,1622090,236077271675,276817814901,8300172639044,725007,435775023,0,0,225735709,10929278,57488397,347904301839383,
97860280,49900255710452,923,351739,22535,7247196,0,66643,9775783,8131278,1069402165,4838899,2901448023,166656,16348828034409,0,46657,528433,0,0,13522921832,0,283211,260517631,768285,3888456,0,701255,332991,1013229264,1866,614783289,9091507895506,946393,5725212,0,25042871377574,0,9577136,2361813652690,2177284,9,207792,923,817564,1056792,5897931377,9393472918277,0,0,432856,22694657,0,92692,2798258,217990911,139038522782037,1,11391938,18231593524408,337,1371,63656155892,0,772585,1613,5919076278140,2873033485605,236,338,0,102,0,221649290311,4259664,3312616,558,10707505,1284,314221442673,275030,687904587,57166501583,2227250,0,752665,65242677,64444,7107980,2260327929,59133119,28328,3655,59,51896167,318721491,24509482190536,514568159,17913,10,0,8779238109485,7218679288,205449,0,11857545014,3241296,1958184943,184566,123,1704397938,1465827,374831396519,0,0,1332207,779995499,1156760,7705023,72972464905,22939,0,816969214026989,5650803,0,15785,15821302,23551080,119624703877,0,17157761526917,7066358,772565257,0,0,88598438,12340815,2987714,74107906921572,
30731476,23175669354307,832,482,16244,8442667,0,66181,29626442,8090166,5833363678,5054971,1688577143,38662,41291260344,0,3209,32932645,0,0,0,0,10001626,533081496,32842,26758557,0,690992,351240,224426793,177618,712055139,3450205668671,3479282,649714,0,154767053192529,0,17197416,916896481889,291170,3,212985,5089,0,1796666,1497494376,3568520274210,0,0,159399,62024992,0,42011,345239,191549055,56086382980691,0,20268067,3836999524284,45455,5850,1542251591,0,1675545,2858,0,536776031293,2808,45454,0,630,0,17770430173275,6753906,3493593,1133,13526447,502,140707902124,0,781642658,35928309496,46052350,0,2434294,818616521,80038,6268757,0,14180148,4439,23327,18625,8091023,396285875,22475190318397,547724776,57196,3198,0,3328309771013,1801751761,107901,0,24801520762,2513738,1948283926,19245893,4095,303004276,2800873,7270049079196692,0,0,201874,474360767,1876619,52012204,52328085105,3896687,0,52655161799608,7710914,0,15676,17406212,17417453,268518226451,0,26730964715,3842012,346836140,0,0,41764761,5459952,42587,51876542440899,
268126393,29585328877683,707,1071,21940,7940917,0,17062,28065895,8034104,1162079067,2924429,240449454,356325,71621016813,0,2642,2284450,0,0,0,0,284028,702876460,714515,12293539,0,648527,341645,7439344,1496,2193924619,3243605620071,2802896,2213488,0,11349846449433,0,25078631,21214633842674,3087043,475,101311,314,0,1255073,39081939,3351642703499,0,0,242440,38769045,0,0,806690,464425327,724332813441167,0,29292464,0,6012,6366,0,0,880815,1871,0,135722278697,187,6013,0,35,0,32700307523956,7472805,16633356,7014,40268353,75,3523153030,81324,765705201,24146329691,77238285,1,29024,141480509,76957,33563087,0,17761655,1217952,2805,1148,34923118,334759706,17191234609690,1477945115,241814,404,0,3131059689409,85175402,0,0,7933250846,451022,1934782897,1200230,7967,786823231,3444770,0,0,0,942730,184255240,2211261,39828664,14008127049,51766,0,5100167516706,29301566,0,1147,17177719,1960689,286033256309,0,26731782554,23197,951164566,0,0,67454538,7112560,1072727,91198522749018,
2046053,21915991758825,3237,525833,20368,8415782,0,23068,25577152,4010949,933005024,1149090,439250801,323186,93644005419,0,3035,4131219,0,0,0,0,931982,478613713,120113,4601186,0,625404,336229,20685858,1234,638482649,2234239810950,305864,3733810,0,80773313268650,0,23273985,0,2489670,5,3281361,1668,0,100041,145579513,2308290446898,0,0,702572,11956236978,0,0,1291292,156915754,0,0,27709428,0,33671,6380,0,0,72787091,1212,0,111815567024,187,33672,0,248,0,30115513798076,6936036,4470732,1091,11884126,57,11127125773,2695984,751426559,29815110113,54724653,0,14985,136502590,85670,10698687,0,21195941,9114,25139,2864,51010012,279862594,13635891892569,494564813,768105,46,0,2157261557186,217473487,0,0,0,6426334,1559410398,8019396,225734,3449990736,3670782,0,0,0,1761949,147120687,2349494,1997819,71934507886,81091,0,11305258035065,7852422,0,11747,18031179,3285280,232450250184,0,51008766394,678214,2005124234,0,0,127567884,7402633,2032183,84636114709401,
76523995,19979609049341,13930,4354,46176,8325258,0,31639,25783915,5122562,956392446,1272781,362054965,568969,351827846444,0,2914,4140467,0,0,0,0,5795319,2138390060,100787,5376975,0,648130,352089,36835755,252450,685640098,1645924766550,10840293,6294089,0,56231038949957,0,13887437,0,126368238,67,70074,16855,0,49269,444726321,1701184540406,0,0,578911,1609687574,0,0,1843835,168939436,0,0,18174439,0,2821,6018,0,0,13163044,1878,0,251761404506,141,2821,0,120,0,52704933196929,4302342,12741868,1438,5075795,146988,52841116621,1187965,775549426,21395117243,266417603,0,1347265,79939694,85195,26561007,0,300753559,34522,39348,17697,32188928,160940614,15040963816772,501704883,105915,291,0,1590821518303,586044385,0,0,0,1599957,1787742730,10765184,162223,529640876,26695931,0,0,0,2521031,322977779,16070972,209183745,67549365910,122985,0,0,3371399,0,1019,18077894,6691604,221537607252,0,140199752273,1946479,206431003,0,0,17472389,9668474,5035296,76639261945013,
27530295,18996968651419,3526,876,95150,7982686,0,30162,24428745,5587800,4433874517,1756870,637502472,706317,311238550799,0,2334,5182924,0,0,0,0,1533236,659392952,71286,30727886,0,549734,300278,89131719,132169,10147297205,1060036670840,1419079,8433140,0,53160746443896,0,3388100,0,3665934,15,186541,5914,0,67221,276310064,1095485767491,0,0,398684,767062243,0,0,2677908,2693253538,0,0,7340140,0,21814987193,36765,0,0,477043,3102,0,93882054542,189,21814610501,0,360,0,70562334595229,1505690,2572408,949,38209396,9326,57383821889,0,667950348,17033445281,33838766,0,1715468,30082868,79069,4573805,0,18278041,43622,1521,2355,34364868,51693838,15875057755057,8659607472,230716,1201,0,1023966295245,368225024,0,0,0,1987436,1491555789,10322741,58781,1655432183,3742997,0,0,0,3749173,4718616873,2496283,30327597,64569803040,152753,0,0,27978112,0,642,17984129,33238841,210253303265,0,68696347926,10349198,287148245,0,0,21538753,7005638,3215493,53709990967690,
