DISPATCH_STALL_FOR_BRANCH_ABORT,CPU_READ_COMMAND_LATENCY_TO_TARGET_NODE_0_3,PIPELINE_RESTART_DUE_TO_INSTRUCTION_STREAM_PROBE,SEGMENT_REGISTER_LOADS,RETURN_STACK_OVERFLOWS,L3_CACHE_MISSES,DISPATCH_STALL_WAITING_FOR_ALL_QUIET,MEMORY_CONTROLLER_TURNAROUNDS,RETIRED_SSE_OPERATIONS,CPU_IO_REQUESTS_TO_MEMORY_IO,PERF_COUNT_SW_TASK_CLOCK,RETIRED_MMX_AND_FP_INSTRUCTIONS,CPU_CLK_UNHALTED,INTERRUPTS_MASKED_CYCLES_WITH_INTERRUPT_PENDING,INSTRUCTION_CACHE_MISSES,SMIS_RECEIVED,FP_SCHEDULER_CYCLES,CPU_READ_COMMAND_REQUESTS_TO_TARGET_NODE_0_3,CPU_READ_COMMAND_REQUESTS_TO_TARGET_NODE_4_7,RETIRED_CLFLUSH_INSTRUCTIONS,RETIRED_TAKEN_BRANCH_INSTRUCTIONS_MISPREDICTED,HYPERTRANSPORT_LINK3,DISPATCH_STALL_FOR_SERIALIZATION,DISPATCH_STALL_FOR_RESERVATION_STATION_FULL,INEFFECTIVE_SW_PREFETCHES,PERF_COUNT_HW_CACHE_MISSES,GLOBAL_TLB_FLUSHES,RETIRED_MOVE_OPS,DISPATCHED_FPU_OPS_FAST_FLAG,RETIRED_BRANCH_INSTRUCTIONS,MEMORY_REQUESTS,PERF_COUNT_HW_CPU_CYCLES,HYPERTRANSPORT_LINK1,L1_DTLB_MISS_AND_L2_DTLB_HIT,DATA_CACHE_LINES_EVICTED,MEMORY_CONTROLLER_PAGE_TABLE_OVERFLOWS,LOCKED_OPS,CPU_REQUESTS_TO_TARGET_NODE_0_3_4_7,L2_FILL_WRITEBACK,PERF_COUNT_HW_BRANCH_MISSES,INTERRUPTS_MASKED_CYCLES,INSTRUCTION_CACHE_LINES_INVALIDATED,DISPATCH_STALL_FOR_SEGMENT_LOAD,ITLB_RELOADS,GART,SIZED_COMMANDS,RETIRED_INSTRUCTIONS,HYPERTRANSPORT_LINK0,DR2_BREAKPOINT_MATCHES,RETIRED_X87_OPS,INSTRUCTION_CACHE_VICTIMS,DATA_CACHE_ACCESSES,DATA_PREFETCHES,CPU_COMMAND_LATENCY_TO_TARGET_NODE_0_3_4_7,DATA_CACHE_REFILLS_FROM_SYSTEM,PERF_COUNT_HW_CACHE_REFERENCES,PERF_COUNT_HW_BRANCH_INSTRUCTIONS,PIPELINE_RESTART_DUE_TO_SELF_MODIFYING_CODE,REQUESTS_TO_L2,RETIRED_TAKEN_BRANCH_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,RETIRED_BRANCH_RESYNCS,PREFETCH_INSTRUCTIONS_DISPATCHED,PERF_COUNT_HW_CACHE_ITLB,CANCELLED_STORE_TO_LOAD_FORWARD_OPERATIONS,LFENCE_INST_RETIRED,RETIRED_MISPREDICTED_BRANCH_INSTRUCTIONS,MEMORY_CONTROLLER_REQUESTS,RETIRED_SERIALIZING_OPS,PERF_COUNT_SW_PAGE_FAULTS_MIN,FPU_EXCEPTIONS,PERF_COUNT_SW_CPU_MIGRATIONS,RETIRED_FAR_CONTROL_TRANSFERS,LS_BUFFER_2_FULL_CYCLES,L2_CACHE_MISS,DISPATCHED_FPU,INTERRUPTS_TAKEN,PROBE,MFENCE_INST_RETIRED,L1_ITLB_MISS_AND_L2_ITLB_HIT,RETIRED_FASTPATH_DOUBLE_OP_INSTRUCTIONS,CYCLES_NO_FPU_OPS_RETIRED,IO_TO_DRAM_REQUESTS_TO_TARGET_NODE,DISPATCH_STALL_FOR_REORDER_BUFFER_FULL,PERF_COUNT_SW_PAGE_FAULTS_MAJ,MISALIGNED_ACCESSES,DECODER_EMPTY,L3_FILLS_CAUSED_BY_L2_EVICTIONS,PERF_COUNT_HW_CACHE_BPU,DISPATCH_STALL_FOR_FAR_TRANSFER_OR_RSYNC,RETIRED_NEAR_RETURNS,RETIRED_NEAR_RETURNS_MISPREDICTED,L3_EVICTIONS,PERF_COUNT_SW_CONTEXT_SWITCHES,MEMORY_CONTROLLER_SLOT_MISSES,INSTRUCTION_CACHE_FETCHES,DISPATCH_STALL_FOR_FPU_FULL,PERF_COUNT_HW_INSTRUCTIONS,L1_ITLB_MISS_AND_L2_ITLB_MISS,RETIRED_CPUID_INSTRUCTIONS,SFENCE_INST_RETIRED,HYPERTRANSPORT_LINK2,RETIRED_UOPS,CPU_READ_COMMAND_LATENCY_TO_TARGET_NODE_4_7,DR3_BREAKPOINT_MATCHES,INSTRUCTION_CACHE_REFILLS_FROM_SYSTEM,L1_DTLB_AND_L2_DTLB_MISS,THERMAL_STATUS_AND_ECC_ERRORS,PERF_COUNT_HW_CACHE_L1I,ITLB_RELOADS_ABORTED,DISPATCH_STALLS,PERF_COUNT_HW_CACHE_L1D,PERF_COUNT_SW_CPU_CLOCK,PAGE_SIZE_MISMATCHES,SCRUBBER_SINGLE_BIT_ECC_ERRORS,DATA_CACHE_MISSES,L1_DTLB_HIT,PERF_COUNT_HW_CACHE_LL,MICROARCHITECTURAL_LATE_CANCEL_OF_AN_ACCESS,CPU_TO_DRAM_REQUESTS_TO_TARGET_NODE,RETIRED_INDIRECT_BRANCHES_MISPREDICTED,IBS_OPS_TAGGED,MICROARCHITECTURAL_EARLY_CANCEL_OF_AN_ACCESS,CACHE_BLOCK,DR1_BREAKPOINT_MATCHES,MEMORY_CONTROLLER_BYPASS,READ_REQUEST_TO_L3_CACHE,QUADWORDS_WRITTEN_TO_SYSTEM,DCACHE_MISSES_BY_LOCKED_INSTRUCTIONS,PIPELINE_RESTART_DUE_TO_PROBE_HIT,INSTRUCTION_CACHE_REFILLS_FROM_L2,SYSTEM_READ_RESPONSES,INSTRUCTION_FETCH_STALL,PERF_COUNT_HW_CACHE_DTLB,DR0_BREAKPOINT_MATCHES,RETURN_STACK_HITS,DRAM_ACCESSES_PAGE,DATA_CACHE_REFILLS,DISPATCH_STALL_FOR_LS_FULL,
50227336,526150476,12,1752178,389088,25942027,7268713,574908,0,39229161,625536526,192,1107587291,135556,971882,0,35,3998938,0,0,2022953,0,18991607,119952941,386980,827825,0,21,65,76991228,9857,1405248203,674959339,45443,63413689,0,81347843,0,72740347,1992251,156017173,2,21891697,294,0,47838,437675111,674958321,0,0,1076614,409467244,0,0,16774086,143559045,83301176,0,114135807,81518535,225068,280456,130721,0,2698953,28,2143426,39239707,4,225068,0,3,474486,470188569,55831994,514,819,35199327,69,48,1,1425481791,3336,139274291,0,265,47906551,596520,2693951,2056349,13321007,671808,232089,17,48965248,215783952,233,491315860,188,10,0,674960067,678035649,0,0,49061,477726,1541326862,989956,55,1356320045,18851947,625549630,0,0,17968416,472151503,19386694,225702878,29074815,377444,0,155732371,42334168,0,117982,215942716,40661408,132085,6351,922830,10245878,1158991462,0,0,14594010,22475271,32751670,1145464031,
49388765,615283753,10,2827986,436991,29229079,4888802,685813,0,35794019,648561625,4,1498873167,143650,1019190,0,218,4053091,0,0,1982645,0,15461458,78729612,285008,746385,0,1,2,137283164,8529,1536551113,699601200,44086,51794447,0,144107602,0,73864278,1961179,197783078,0,16972985,37,0,43397,777733518,699599901,0,0,885920,494848445,0,0,14200558,196022228,116111237,0,118152930,101718726,166235,252986,120848,0,3184022,103,2216584,42728537,4,166237,0,9,406420,489295129,55782305,65,720,43963300,124,16,0,1756417998,3933,97129878,0,1,39673708,1217723,2838881,1373523,18843724,599840,148663,27,58002444,272104465,0,710791276,24,0,0,699601801,1109491888,0,0,48508,425508,1491982803,733544,8,1121938621,15988675,648573400,0,0,14478554,462152639,16073212,193593637,32401010,342254,0,196385393,51110638,0,138846,200694850,49455438,186668,5370,970688,12452176,1586673860,0,0,23456160,25538808,27033236,784858600,
42581743,627314284,7,2513291,290680,28151333,5144348,690492,0,36717634,775416317,4,1591199437,117802,1016602,0,287,4723777,0,0,2099073,0,15968942,113011200,313682,651051,0,1,2,165717462,8869,1373648333,648810875,40519,53157657,0,130307075,0,74586013,2276374,210038227,1,18379482,26,0,55728,939651001,648809750,0,0,832171,492242191,0,0,13994705,179763663,133708467,0,117904735,100849379,168720,292667,123978,0,2730588,128,2351696,45758455,4,168718,0,7,402117,439073882,56109778,65,659,43033815,26,27,0,1589018588,4658,143151123,0,66,35459458,1084664,3040734,1444071,20246200,727545,175454,27,58701905,269705125,0,654397245,22,0,0,648811727,1359963665,0,0,49596,417820,1518551736,767050,10,1010529332,17008907,775428083,0,0,15344241,490768773,17140544,183118464,33610584,432629,0,208037713,48240453,0,133806,202296470,55265541,198064,5114,967011,13903380,1488765826,0,0,22212927,26437533,27720528,814990872,
64118521,630270075,18,2741511,329559,18714413,5444148,717795,0,36754187,719070049,0,1646822143,150572,1023822,0,300,5010572,0,0,1818549,0,12027063,90412391,327928,836534,0,1,2,158886992,9368,1600721941,686099174,19479,48798385,0,114788065,0,75703536,2104754,225149124,0,13289279,28,0,50100,900706551,686098241,0,0,833167,491410361,0,0,14119702,165889979,96628680,0,119693626,98084622,206037,305451,96708,0,2051520,238,2051275,46947853,8,206037,0,8,386055,420134682,57375536,0,714,41603371,133,36,0,1622868984,3961,115277145,0,0,44986859,437652,1618811,1545021,21034942,751162,225224,23,66051769,258239056,0,561668701,33,0,0,686099887,1299708385,0,0,50219,321856,1502555957,742757,1,1083149609,17024059,719081521,0,0,13034843,507976085,16998211,157234754,34217874,439248,0,178916972,47934450,0,140467,157481673,60690407,170994,4437,973610,15300411,1231982968,0,0,19900993,29163360,25556668,838827028,
60645789,723773069,15,2827924,297824,18488782,6789963,693117,0,37763917,704405294,4,1616567631,194097,1027408,0,290,4670702,0,0,1900667,0,12892178,60660868,347995,832978,0,0,0,132134605,8652,1520752400,808075483,42213,56405053,0,86241072,0,75397383,2122543,307311115,1,15817102,25,0,55018,748471670,808072948,0,0,839659,450897404,0,0,13743757,209209314,123733495,0,119376459,74284113,178057,294413,114038,0,3359347,79,2061371,51492091,4,178057,0,8,431578,510379907,57091095,66,648,41695545,69,48,0,1553684377,6545,60138192,0,1,40312457,449991,1460669,1911565,13937289,697471,196991,22,76679715,260606898,0,745230229,14,0,0,808077661,1064117808,0,0,53325,425096,1502011587,799697,16,1051531018,18683406,704418323,0,0,17081018,430542661,18747495,193007717,38032829,401170,0,168874729,50533299,0,135310,159218020,55110059,138037,5580,974089,13883333,1916977190,0,0,27074239,32583946,29304164,1081453201,
55640430,520450859,11,2828261,306750,19727970,7922670,581725,0,37699426,629558701,4,1635659182,122198,1105324,0,238,5802180,0,0,1756450,0,12421112,90548805,320874,848684,0,1,2,131689608,9103,1526672646,982014712,43617,57503629,0,124702438,0,75465385,1895144,203767177,0,13207368,31,0,43372,746243955,982012355,0,0,654412,507288630,0,0,15359503,205767068,116127592,0,119021109,104914282,171716,267247,115903,0,2691255,37,1995856,36173406,4,171716,0,4,426089,440213736,57229035,65,715,43375134,78,28,0,1546960199,9047,113027425,0,9,38266339,500939,2333647,2228104,19447245,637468,184668,27,72423364,257866934,0,735165904,11,0,0,982018958,1060079638,0,0,45951,428087,1488678868,728716,3,1008637136,13513968,629572832,0,0,16207697,477242532,13440999,192941293,27287000,368142,0,201073126,51025557,0,120423,172809483,57382885,172123,5866,1059378,14453759,1930842704,0,0,26852347,30978764,29731153,1255840244,
52413062,732282083,19,2833671,427048,19726460,7924871,1125866,26613927,37213795,705359529,183041953,1664114865,35879,801174,0,229,5457096,0,0,3538900,0,13786509,98683817,324473,623619,0,11757559,3828129,102516876,9010,1607609875,988803480,38814,53228768,0,111700725,0,66185864,2251053,74769062,3,15928072,283,0,107777,583250534,988802532,0,0,415339,483665378,0,0,14215362,292633548,116832140,0,108096567,368081464,203337,359143,111218,0,3242867,9,4259055,57038953,4,203337,0,6,111080,367302276,50447228,0,738,39434371,202781,167,269184,1531400178,4692,131136627,0,9,44080740,434153,2077649,2231910,51028909,328621,201055,27,46400804,327566660,0,1284957788,57,0,0,988802145,903065762,0,0,39238,381024,1510870984,303823,2,1135721425,6568456,705375326,0,0,15179257,504948089,6342864,181672890,41130173,303575,0,203833554,45989831,0,220595,170770518,45567595,180522,4830,761943,11469453,1858314139,0,0,42061445,20780864,27737913,1261408042,
49041753,381263981,1,595166,839536,5616675,8543034,232723,72690264,20842973,640949824,175505736,2194772714,1471,75778,0,279,2816747,0,0,3859480,0,12633828,99939495,194719,56387,0,32113257,10470481,585465478,119615,1566302746,989877509,28951,16441574,0,121421415,0,83737,3202796,2853840,10,16152856,600,0,429149,2832712075,989877991,0,0,52418,652164677,0,0,6509428,579214055,585984112,0,21625155,393506923,143265,595059,55004,0,3679741,256,4555545,13714016,12,143265,0,5,1135,380380343,8644,125375386,606,21180075,601237,154,258084,1090801805,4260,117850771,0,11,36862514,156230,2660942,2093743,101499935,1841,16795,23,7843434,808016970,70693132,3188827124,75,0,0,989877245,3020336963,0,0,287,430760,1652595632,58416,43,993248947,309975,640937107,0,0,3127587,832889204,36967,183899003,13766780,314281,0,223408938,11436464,0,45913,112547243,79850,139313,3543,75491,1302,1387148553,0,0,144731191,3300692,8843527,34945986,
20079196,332911886,0,9181,896172,6264609,8217459,23057,76502653,11117007,712125723,150352530,2157163154,1241,74652,0,72,2982385,0,0,3248649,0,16175410,115864399,4054,53262,0,33797406,11004195,658180770,296030,1540129276,988955970,104,753925,0,32372166,0,122688,3638454,4749882,10,18340,528,0,441733,3135056896,988955539,0,0,55576,1138331335,0,0,205936,570736396,665576187,0,21766420,313451616,155730,532942,161,0,4203437,248,3804619,8407453,8,155729,0,4,1204,168935,13870,174756651,605,21117509,767596,195,221100,1149176447,4348,87431386,0,12,34486964,175523,3431447,2017445,90891369,7713,15397,24,5917023,807396142,67852470,3141261452,25,0,0,988956448,3290065763,0,0,57,444,1995258827,53355,32,419152624,277358,712110658,0,0,507357,1319232570,125773,566691,10798366,280489,0,210121424,10707164,0,2421,121466398,114048,6,279,74596,6533840,1384302106,0,0,145297922,2429117,389596,1277736,
10220643,331815185,2,9156,831012,6452752,5587390,21730,87160174,8235049,521950229,178829309,1781723538,81769,72488,0,0,2616851,0,0,3907503,0,17416838,125007381,3313,58038,0,38505579,12537018,676235190,239242,1611153446,989887443,53,10375360,0,37314428,0,73828,2675344,2767836,16,24123,788,0,428696,3221066954,989887464,0,0,59702,1251651769,0,0,2628497,595265449,490609853,0,21522302,400394468,209566,598885,925,0,4620985,166,4615401,9385674,0,209567,0,9,1413,2400806,7762,165777663,590,21768017,765806,71,262982,1310201381,4482,93453355,0,9,36683983,177735,3202118,1371931,101873244,7581,15715,22,7471323,810080454,44762714,3273910713,50,0,0,989887458,3380280627,0,0,58,128123,1610060299,52225,14,258501747,264395,521935700,0,0,269643,1066260959,20358215,207279,10762338,334094,0,210717955,11820437,0,2284,128609566,25961806,1049,251,72429,13705753,1382677069,0,0,145660153,3168461,5369641,1252652,
