DISPATCH_STALL_FOR_BRANCH_ABORT,CPU_READ_COMMAND_LATENCY_TO_TARGET_NODE_0_3,PIPELINE_RESTART_DUE_TO_INSTRUCTION_STREAM_PROBE,SEGMENT_REGISTER_LOADS,RETURN_STACK_OVERFLOWS,L3_CACHE_MISSES,DISPATCH_STALL_WAITING_FOR_ALL_QUIET,MEMORY_CONTROLLER_TURNAROUNDS,RETIRED_SSE_OPERATIONS,CPU_IO_REQUESTS_TO_MEMORY_IO,PERF_COUNT_SW_TASK_CLOCK,RETIRED_MMX_AND_FP_INSTRUCTIONS,CPU_CLK_UNHALTED,INTERRUPTS_MASKED_CYCLES_WITH_INTERRUPT_PENDING,INSTRUCTION_CACHE_MISSES,SMIS_RECEIVED,FP_SCHEDULER_CYCLES,CPU_READ_COMMAND_REQUESTS_TO_TARGET_NODE_0_3,CPU_READ_COMMAND_REQUESTS_TO_TARGET_NODE_4_7,RETIRED_CLFLUSH_INSTRUCTIONS,RETIRED_TAKEN_BRANCH_INSTRUCTIONS_MISPREDICTED,HYPERTRANSPORT_LINK3,DISPATCH_STALL_FOR_SERIALIZATION,DISPATCH_STALL_FOR_RESERVATION_STATION_FULL,INEFFECTIVE_SW_PREFETCHES,PERF_COUNT_HW_CACHE_MISSES,GLOBAL_TLB_FLUSHES,RETIRED_MOVE_OPS,DISPATCHED_FPU_OPS_FAST_FLAG,RETIRED_BRANCH_INSTRUCTIONS,MEMORY_REQUESTS,PERF_COUNT_HW_CPU_CYCLES,HYPERTRANSPORT_LINK1,L1_DTLB_MISS_AND_L2_DTLB_HIT,DATA_CACHE_LINES_EVICTED,MEMORY_CONTROLLER_PAGE_TABLE_OVERFLOWS,LOCKED_OPS,CPU_REQUESTS_TO_TARGET_NODE_0_3_4_7,L2_FILL_WRITEBACK,PERF_COUNT_HW_BRANCH_MISSES,INTERRUPTS_MASKED_CYCLES,INSTRUCTION_CACHE_LINES_INVALIDATED,DISPATCH_STALL_FOR_SEGMENT_LOAD,ITLB_RELOADS,GART,SIZED_COMMANDS,RETIRED_INSTRUCTIONS,HYPERTRANSPORT_LINK0,DR2_BREAKPOINT_MATCHES,RETIRED_X87_OPS,INSTRUCTION_CACHE_VICTIMS,DATA_CACHE_ACCESSES,DATA_PREFETCHES,CPU_COMMAND_LATENCY_TO_TARGET_NODE_0_3_4_7,DATA_CACHE_REFILLS_FROM_SYSTEM,PERF_COUNT_HW_CACHE_REFERENCES,PERF_COUNT_HW_BRANCH_INSTRUCTIONS,PIPELINE_RESTART_DUE_TO_SELF_MODIFYING_CODE,REQUESTS_TO_L2,RETIRED_TAKEN_BRANCH_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,RETIRED_BRANCH_RESYNCS,PREFETCH_INSTRUCTIONS_DISPATCHED,PERF_COUNT_HW_CACHE_ITLB,CANCELLED_STORE_TO_LOAD_FORWARD_OPERATIONS,LFENCE_INST_RETIRED,RETIRED_MISPREDICTED_BRANCH_INSTRUCTIONS,MEMORY_CONTROLLER_REQUESTS,RETIRED_SERIALIZING_OPS,PERF_COUNT_SW_PAGE_FAULTS_MIN,FPU_EXCEPTIONS,PERF_COUNT_SW_CPU_MIGRATIONS,RETIRED_FAR_CONTROL_TRANSFERS,LS_BUFFER_2_FULL_CYCLES,L2_CACHE_MISS,DISPATCHED_FPU,INTERRUPTS_TAKEN,PROBE,MFENCE_INST_RETIRED,L1_ITLB_MISS_AND_L2_ITLB_HIT,RETIRED_FASTPATH_DOUBLE_OP_INSTRUCTIONS,CYCLES_NO_FPU_OPS_RETIRED,IO_TO_DRAM_REQUESTS_TO_TARGET_NODE,DISPATCH_STALL_FOR_REORDER_BUFFER_FULL,PERF_COUNT_SW_PAGE_FAULTS_MAJ,MISALIGNED_ACCESSES,DECODER_EMPTY,L3_FILLS_CAUSED_BY_L2_EVICTIONS,PERF_COUNT_HW_CACHE_BPU,DISPATCH_STALL_FOR_FAR_TRANSFER_OR_RSYNC,RETIRED_NEAR_RETURNS,RETIRED_NEAR_RETURNS_MISPREDICTED,L3_EVICTIONS,PERF_COUNT_SW_CONTEXT_SWITCHES,MEMORY_CONTROLLER_SLOT_MISSES,INSTRUCTION_CACHE_FETCHES,DISPATCH_STALL_FOR_FPU_FULL,PERF_COUNT_HW_INSTRUCTIONS,L1_ITLB_MISS_AND_L2_ITLB_MISS,RETIRED_CPUID_INSTRUCTIONS,SFENCE_INST_RETIRED,HYPERTRANSPORT_LINK2,RETIRED_UOPS,CPU_READ_COMMAND_LATENCY_TO_TARGET_NODE_4_7,DR3_BREAKPOINT_MATCHES,INSTRUCTION_CACHE_REFILLS_FROM_SYSTEM,L1_DTLB_AND_L2_DTLB_MISS,THERMAL_STATUS_AND_ECC_ERRORS,PERF_COUNT_HW_CACHE_L1I,ITLB_RELOADS_ABORTED,DISPATCH_STALLS,PERF_COUNT_HW_CACHE_L1D,PERF_COUNT_SW_CPU_CLOCK,PAGE_SIZE_MISMATCHES,SCRUBBER_SINGLE_BIT_ECC_ERRORS,DATA_CACHE_MISSES,L1_DTLB_HIT,PERF_COUNT_HW_CACHE_LL,MICROARCHITECTURAL_LATE_CANCEL_OF_AN_ACCESS,CPU_TO_DRAM_REQUESTS_TO_TARGET_NODE,RETIRED_INDIRECT_BRANCHES_MISPREDICTED,IBS_OPS_TAGGED,MICROARCHITECTURAL_EARLY_CANCEL_OF_AN_ACCESS,CACHE_BLOCK,DR1_BREAKPOINT_MATCHES,MEMORY_CONTROLLER_BYPASS,READ_REQUEST_TO_L3_CACHE,QUADWORDS_WRITTEN_TO_SYSTEM,DCACHE_MISSES_BY_LOCKED_INSTRUCTIONS,PIPELINE_RESTART_DUE_TO_PROBE_HIT,INSTRUCTION_CACHE_REFILLS_FROM_L2,SYSTEM_READ_RESPONSES,INSTRUCTION_FETCH_STALL,PERF_COUNT_HW_CACHE_DTLB,DR0_BREAKPOINT_MATCHES,RETURN_STACK_HITS,DRAM_ACCESSES_PAGE,DATA_CACHE_REFILLS,DISPATCH_STALL_FOR_LS_FULL,
66241722,855537970,14,2329765,349636,27014433,7046620,1148857,0,37543298,801337762,192,1943421634,111770,873853,0,35,3298134,0,0,2193512,0,16045154,97836367,381875,746741,0,21,56,98099500,9082,1177278540,817933824,106457,58590447,0,81948428,0,41943558,2209857,169941669,1,21844320,266,0,23278,565119746,817931046,0,0,1020318,401767125,0,0,17356871,115819584,101352886,0,62760672,78273653,262272,311504,133849,0,3193950,0,2311512,75224590,4,262272,0,0,477544,511753088,31573924,412,767,26361113,55,34,1,1714808845,0,141524392,0,262,48985169,668748,1719630,1957433,14525439,749370,240933,4,102579664,110014719,0,391266850,186,10,0,0,887892863,0,0,39953,518499,1435381188,773286,57,1263574243,14663584,801346453,0,0,14495018,425430756,14834540,276503231,45635237,413231,0,210656406,31417633,0,242604,221727265,70898592,130706,1642,833935,17818099,1257684063,0,0,13732337,36786894,29920963,1146312416,
47348941,764771976,5,1578085,367268,25300727,4768771,912499,0,31086018,658327308,4,1589294398,112877,257811,0,79,3111669,0,0,1979773,0,12756226,72819935,284848,390121,0,1,2,588565142,8178,1490207972,576907181,215098,47598500,0,130232045,0,31182756,2976615,241305014,0,17536835,18,0,218432,2851127499,576908377,0,0,1045095,493955456,0,0,14144080,342433175,521578387,0,54693887,94251061,262150,299817,110266,0,3612908,0,2206616,72005088,4,262150,0,1,381444,468797527,22840036,82617929,769,23739475,28,41,0,1584917566,0,95901506,0,18,42661641,582078,2586626,1324545,20569864,720293,28604,7,113128016,454535302,0,1662957393,473,0,0,0,3050275076,0,0,12935,537389,1302846119,276080,30,1223126687,5797016,658322315,0,0,11973305,435295850,5443000,216397156,41769492,418068,0,258359527,20865552,0,186808,214485609,55607087,144549,1904,244892,13974181,1014318338,0,0,55592891,39917297,24591760,762813546,
23368721,547916644,0,826293,714177,7123570,5487962,874542,41179047,27408586,549846909,120881616,1452730789,83656,61036,0,1118,1913371,0,0,2278269,0,15385485,136322078,211256,48934,0,18192124,5923202,723632904,91691,1421694086,699139790,3,18839542,0,107384100,0,72644,2849179,137212939,1,4343399,78,0,323010,3446814045,699136935,0,0,779213,874297330,0,0,4744726,526295131,516217586,0,12907406,203930902,37,425734,143,0,4345052,0,2709604,40998166,24,37,0,0,194352,190231958,16294,266433288,753,16572882,50290,19,177762,1525081700,0,128999055,0,0,43105191,194399,5060530,1450299,65765452,283698,15143,3,91862313,506516177,15487532,2898247616,500,0,0,0,3617304879,0,0,5702,28,1381628652,66777,30,700266232,404448,549823800,0,0,5755986,715048240,7601,854798,21467515,321098,0,337560159,8289384,0,186282,149957301,17933400,17628,878,55355,4505350,1020747671,0,0,107777259,32162312,9869748,574017061,
4480940,418003382,0,24829,767131,7241892,6775794,126333,88005200,7940822,608199042,212920505,1909266389,38,57017,0,4,2214022,0,0,3238981,0,19268608,133696658,4012,57684,0,38878999,12658578,720184638,283231,1731644374,737212213,2,27125,0,42255662,0,74807,3167065,3093965,0,45814,1,0,359733,3430601687,737211536,0,0,829494,1325116051,0,0,8432,641109357,569526871,0,14795539,327597988,0,594466,11,0,4893847,0,3819893,26335790,0,0,0,3,1502,1500786,16414,266447731,734,18575734,770908,21,313133,1325794094,0,102561034,0,0,43972932,190958,5060150,1662118,101373941,20575,21392,8,38180406,558224770,54605436,3530622149,300,0,0,0,3600715176,0,0,6193,19,1347198782,66907,21,313000977,404469,608183713,0,0,351858,1262727849,7563,850668,13790316,310042,0,304022128,9983996,0,13004,149686121,182162,56,222,50812,12929,1148462878,0,0,121247568,13765283,15948,846720,
4575496,428031350,0,3283,1012191,7629788,6983518,155274,112483888,8482901,521754986,201919654,2172763341,27867,56775,0,0,2626392,0,0,3209962,0,19026438,132265059,4805,60543,0,49693224,16179492,703928505,338896,1964729525,884041528,1,33570,0,36749607,0,79811,2685927,2902357,0,46328,0,0,274127,3352917197,884043267,0,0,348736,1477634420,0,0,9229,726263204,489434507,0,19684534,323214687,0,592773,26,0,5455839,0,3783070,26916394,0,0,0,0,2785,1468191,11698,266645501,670,13008533,771559,18,296946,1696671388,0,101568389,0,0,40077269,204288,5029071,1716428,101084411,14562,17719,3,31203041,736986911,56380388,3996796066,425,0,0,0,3518559606,0,0,4837,22,1365065426,67123,29,284786826,404572,521737968,0,0,309511,1510906628,7638,851062,14116958,323460,0,234797315,6326874,0,17152,159886460,37170,52,295,51962,9351,1074116016,0,0,113153435,11240598,15778,1094896,
3557659,432908862,0,4339,1156381,6871789,7487320,183325,108146180,11389970,683961868,198824252,2194750827,77860,65374,0,0,2439353,0,0,3479579,0,19743552,137478017,5761,50106,0,47776909,15555601,714410513,396970,1262149498,658782702,1,31994,0,39098507,0,80347,3518836,2879679,0,47849,0,0,289656,3402855589,658781839,0,0,65819,1271021060,0,0,9081,465706411,641833260,0,21093654,341143812,0,573837,561,0,4706098,0,4084236,26378951,0,0,0,0,3895,1493305,8384,266248992,838,14888269,771748,52,292394,1634145865,0,105716244,0,0,49857432,186616,5238530,1837599,97855659,15804,16518,2,40890072,810374319,60099311,2560958840,400,0,0,0,3571060631,0,0,5149,22,1911428351,66932,26,354242919,404564,683948091,0,0,311631,1769978654,7651,851867,14349407,306255,0,270500592,7919242,0,18851,145254892,5880,690,214,60228,8470,1109616320,0,0,116665342,14808884,15663,6118000,
10198661,417398769,0,6737,1157681,7024422,8047646,167349,80967678,11106368,760213021,202187656,2194743289,156716,59803,0,0,1980727,0,0,3377246,0,18561867,129425637,5841,54157,0,35769967,11646380,738713356,396740,1628072493,729447001,0,34329,0,36727023,0,77111,3892911,2915431,0,45308,0,0,272266,3518608231,729446314,0,0,65924,1525773086,0,0,9323,602138632,713304119,0,15667195,325965037,0,541893,8,0,5635878,0,3954691,26277534,0,0,0,0,978,1460292,13401,263763971,981,14341093,771384,17,297347,1222557811,0,99435828,0,0,64574460,185739,5717674,1968000,92400532,20352,20160,2,38530196,651908964,64646469,3309613194,529,0,0,0,3692598366,0,0,4911,45,1995241634,66893,29,420228535,404470,760207675,0,0,305707,1769791337,7561,851724,13787314,290666,0,237462359,7158878,0,17099,143047875,5548,17,275,54895,8725,994893976,0,0,104829041,13884345,15849,425119,
4049769,442879202,0,7520,1157332,7897078,6907710,206997,86679887,12527656,819517964,195455430,2194759333,55741,61859,0,0,2362245,0,0,3353463,0,18714835,129778307,5891,65814,0,38293640,12468380,940069422,396473,2194653418,659800072,87322,33767,0,38976737,0,78574,4262705,2903972,0,69958,0,0,276811,4477703272,659797293,0,0,65713,1411499577,0,0,9485,811730067,768072230,0,16742904,331318780,124268,485718,358,0,5208667,0,3940864,27665565,0,124268,0,0,1128,1465392,15331,264865688,732,13318030,771823,19,287444,1306991958,0,99751096,0,0,43419227,206564,5642052,1695637,82619778,11993,15323,2,37220208,641568218,55723949,4466172916,400,0,0,0,4698989493,0,0,4045,22,1991432508,66079,0,312702179,403579,819512739,0,0,318374,1768838161,7763,851749,14764320,251132,0,235755033,6854316,0,21868,157286449,5152,52,190,57816,8494,1064576834,0,0,112333109,13419944,16276,705713,
4238145,425578538,1,7934,1157115,7454894,6707605,161753,82803341,10638933,848073328,209707114,2194738877,382,56199,0,0,2204331,0,0,3377014,0,19154106,134811768,5914,65691,0,36580799,11910411,938561916,394907,2194757239,677928529,167825,30828,0,39052391,0,75773,4345831,3031097,0,71521,0,0,281942,4470521189,677929879,0,0,66001,1161252328,0,0,8761,811763150,795697141,0,15424386,337990393,152847,492543,254,0,4287099,0,3976013,27137575,0,152847,0,0,1713,1540714,15400,266196813,708,13472413,771858,19,308390,1247346042,0,103292562,0,0,42740162,201359,5165887,1641704,84007296,14301,13857,2,39137615,589110105,53949750,4466008019,529,0,0,0,4691449115,0,0,4662,24,1995248115,66979,0,303922383,404474,848078169,0,0,310021,1761201154,7581,851217,14176501,259455,0,235461277,6807647,0,16631,154676657,5104,486,280,51544,8408,1003367707,0,0,105838414,14023543,15463,758979,
4080204,408044015,0,8195,1157388,7268372,6664728,194891,74795779,11978741,603726779,219817407,2194708879,40572,57863,0,0,1773665,0,0,3296269,0,19015533,132819922,5938,65635,0,33043341,10758668,939314985,395705,2194754507,790639114,168907,31376,0,41222373,0,206175,3094593,3201476,0,56551,1,0,234254,4474114734,790636498,0,0,65971,1368167043,0,0,9088,811565710,565378067,0,15740518,330909123,212843,439295,75878,0,5051399,0,3882862,24884158,0,212843,0,1,1235,1485051,109690,266392957,806,11831187,771844,20,323260,1135420647,0,102013308,0,0,48667201,200544,5063611,1632537,74916844,24246,14979,14,33803062,625013376,53644226,4465893071,551,0,0,0,4695221255,0,0,5399,23,1995240892,67021,0,343453717,404845,603708757,0,0,315171,1764782083,7648,851831,13310173,231766,0,234152996,5962409,0,20325,152128350,5377,419,136,52467,8492,975414972,0,0,102930698,12268844,15814,842625,
