DISPATCH_STALL_FOR_BRANCH_ABORT,CPU_READ_COMMAND_LATENCY_TO_TARGET_NODE_0_3,PIPELINE_RESTART_DUE_TO_INSTRUCTION_STREAM_PROBE,SEGMENT_REGISTER_LOADS,RETURN_STACK_OVERFLOWS,L3_CACHE_MISSES,DISPATCH_STALL_WAITING_FOR_ALL_QUIET,MEMORY_CONTROLLER_TURNAROUNDS,RETIRED_SSE_OPERATIONS,CPU_IO_REQUESTS_TO_MEMORY_IO,PERF_COUNT_SW_TASK_CLOCK,RETIRED_MMX_AND_FP_INSTRUCTIONS,CPU_CLK_UNHALTED,INTERRUPTS_MASKED_CYCLES_WITH_INTERRUPT_PENDING,INSTRUCTION_CACHE_MISSES,SMIS_RECEIVED,FP_SCHEDULER_CYCLES,CPU_READ_COMMAND_REQUESTS_TO_TARGET_NODE_0_3,CPU_READ_COMMAND_REQUESTS_TO_TARGET_NODE_4_7,RETIRED_CLFLUSH_INSTRUCTIONS,RETIRED_TAKEN_BRANCH_INSTRUCTIONS_MISPREDICTED,HYPERTRANSPORT_LINK3,DISPATCH_STALL_FOR_SERIALIZATION,DISPATCH_STALL_FOR_RESERVATION_STATION_FULL,INEFFECTIVE_SW_PREFETCHES,PERF_COUNT_HW_CACHE_MISSES,GLOBAL_TLB_FLUSHES,RETIRED_MOVE_OPS,DISPATCHED_FPU_OPS_FAST_FLAG,RETIRED_BRANCH_INSTRUCTIONS,MEMORY_REQUESTS,PERF_COUNT_HW_CPU_CYCLES,HYPERTRANSPORT_LINK1,L1_DTLB_MISS_AND_L2_DTLB_HIT,DATA_CACHE_LINES_EVICTED,MEMORY_CONTROLLER_PAGE_TABLE_OVERFLOWS,LOCKED_OPS,CPU_REQUESTS_TO_TARGET_NODE_0_3_4_7,L2_FILL_WRITEBACK,PERF_COUNT_HW_BRANCH_MISSES,INTERRUPTS_MASKED_CYCLES,INSTRUCTION_CACHE_LINES_INVALIDATED,DISPATCH_STALL_FOR_SEGMENT_LOAD,ITLB_RELOADS,GART,SIZED_COMMANDS,RETIRED_INSTRUCTIONS,HYPERTRANSPORT_LINK0,DR2_BREAKPOINT_MATCHES,RETIRED_X87_OPS,INSTRUCTION_CACHE_VICTIMS,DATA_CACHE_ACCESSES,DATA_PREFETCHES,CPU_COMMAND_LATENCY_TO_TARGET_NODE_0_3_4_7,DATA_CACHE_REFILLS_FROM_SYSTEM,PERF_COUNT_HW_CACHE_REFERENCES,PERF_COUNT_HW_BRANCH_INSTRUCTIONS,PIPELINE_RESTART_DUE_TO_SELF_MODIFYING_CODE,REQUESTS_TO_L2,RETIRED_TAKEN_BRANCH_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,RETIRED_BRANCH_RESYNCS,PREFETCH_INSTRUCTIONS_DISPATCHED,PERF_COUNT_HW_CACHE_ITLB,CANCELLED_STORE_TO_LOAD_FORWARD_OPERATIONS,LFENCE_INST_RETIRED,RETIRED_MISPREDICTED_BRANCH_INSTRUCTIONS,MEMORY_CONTROLLER_REQUESTS,RETIRED_SERIALIZING_OPS,PERF_COUNT_SW_PAGE_FAULTS_MIN,FPU_EXCEPTIONS,PERF_COUNT_SW_CPU_MIGRATIONS,RETIRED_FAR_CONTROL_TRANSFERS,LS_BUFFER_2_FULL_CYCLES,L2_CACHE_MISS,DISPATCHED_FPU,INTERRUPTS_TAKEN,PROBE,MFENCE_INST_RETIRED,L1_ITLB_MISS_AND_L2_ITLB_HIT,RETIRED_FASTPATH_DOUBLE_OP_INSTRUCTIONS,CYCLES_NO_FPU_OPS_RETIRED,IO_TO_DRAM_REQUESTS_TO_TARGET_NODE,DISPATCH_STALL_FOR_REORDER_BUFFER_FULL,PERF_COUNT_SW_PAGE_FAULTS_MAJ,MISALIGNED_ACCESSES,DECODER_EMPTY,L3_FILLS_CAUSED_BY_L2_EVICTIONS,PERF_COUNT_HW_CACHE_BPU,DISPATCH_STALL_FOR_FAR_TRANSFER_OR_RSYNC,RETIRED_NEAR_RETURNS,RETIRED_NEAR_RETURNS_MISPREDICTED,L3_EVICTIONS,PERF_COUNT_SW_CONTEXT_SWITCHES,MEMORY_CONTROLLER_SLOT_MISSES,INSTRUCTION_CACHE_FETCHES,DISPATCH_STALL_FOR_FPU_FULL,PERF_COUNT_HW_INSTRUCTIONS,L1_ITLB_MISS_AND_L2_ITLB_MISS,RETIRED_CPUID_INSTRUCTIONS,SFENCE_INST_RETIRED,HYPERTRANSPORT_LINK2,RETIRED_UOPS,CPU_READ_COMMAND_LATENCY_TO_TARGET_NODE_4_7,DR3_BREAKPOINT_MATCHES,INSTRUCTION_CACHE_REFILLS_FROM_SYSTEM,L1_DTLB_AND_L2_DTLB_MISS,THERMAL_STATUS_AND_ECC_ERRORS,PERF_COUNT_HW_CACHE_L1I,ITLB_RELOADS_ABORTED,DISPATCH_STALLS,PERF_COUNT_HW_CACHE_L1D,PERF_COUNT_SW_CPU_CLOCK,PAGE_SIZE_MISMATCHES,SCRUBBER_SINGLE_BIT_ECC_ERRORS,DATA_CACHE_MISSES,L1_DTLB_HIT,PERF_COUNT_HW_CACHE_LL,MICROARCHITECTURAL_LATE_CANCEL_OF_AN_ACCESS,CPU_TO_DRAM_REQUESTS_TO_TARGET_NODE,RETIRED_INDIRECT_BRANCHES_MISPREDICTED,IBS_OPS_TAGGED,MICROARCHITECTURAL_EARLY_CANCEL_OF_AN_ACCESS,CACHE_BLOCK,DR1_BREAKPOINT_MATCHES,MEMORY_CONTROLLER_BYPASS,READ_REQUEST_TO_L3_CACHE,QUADWORDS_WRITTEN_TO_SYSTEM,DCACHE_MISSES_BY_LOCKED_INSTRUCTIONS,PIPELINE_RESTART_DUE_TO_PROBE_HIT,INSTRUCTION_CACHE_REFILLS_FROM_L2,SYSTEM_READ_RESPONSES,INSTRUCTION_FETCH_STALL,PERF_COUNT_HW_CACHE_DTLB,DR0_BREAKPOINT_MATCHES,RETURN_STACK_HITS,DRAM_ACCESSES_PAGE,DATA_CACHE_REFILLS,DISPATCH_STALL_FOR_LS_FULL,
84735058,908939226,1,2493089,386730,19879972,7756708,1044816,0,42496305,504470174,189,1901577389,87530,1122072,0,35,4034941,0,0,3249814,0,13232088,35622251,460995,1341963,0,20,46,78872606,10351,1860190353,924313783,96034,38194044,0,135999131,0,70027387,1423196,164710028,1,18453371,297,0,24966,454559877,924313545,0,0,1024560,621581586,0,207,13689179,250023766,62977900,0,101042395,134898495,227324,380883,93784,0,3675141,0,3541628,88080150,4,227326,0,8,626430,599382751,45774643,363,920,32057954,33,38,3,2061947035,0,172956953,0,304,65832334,485031,2805863,2215686,24533142,1189376,202005,21,111822546,251130342,0,886894574,177,10,0,0,713640882,0,0,39973,537993,1602880295,1357491,44,1401679317,22211761,504480340,0,0,7422620,555008252,22634228,309580059,51688439,526069,0,134391341,36244242,0,230191,170134846,69964863,53947,1900,1082098,17576995,1850676079,0,0,26232027,49964796,19639274,983942681,
62522172,904820418,0,2493365,340761,23106963,6979633,1755331,0,41844003,576111418,0,2115855321,137847,1424242,0,0,4486299,0,0,2266323,0,11576433,59468158,418449,1172643,0,0,0,127706997,9399,1638687934,930422252,89553,48769446,0,135991459,0,64999819,1714285,226034972,0,16083865,9,0,27935,730211384,930421939,0,0,1001128,705079294,0,0,13975096,161726150,105142546,0,73031196,124298796,245294,357715,108139,0,4214279,0,2552283,87380354,0,245294,0,15,561687,609095138,27098871,0,956,34180202,49,0,0,2194641161,0,197734659,0,25,59334504,799414,2972895,1970448,23471385,976982,191161,16,106793735,280587497,0,550835439,12,0,0,0,1044180862,0,0,39059,561281,1530265107,1159158,3,1527582873,16161984,576125869,0,0,12510740,483518243,15510621,318886594,52094646,492403,0,193686608,39444568,0,425501,177387531,72056208,110670,1669,1385183,18099376,1857854758,0,0,25842714,48050034,25165905,944300826,
48050487,912274793,7,2489596,109847,20599610,5705474,841898,0,27953362,606055698,0,1771692735,122540,1141281,0,0,4798682,0,0,2337738,0,13058679,65521093,354127,972337,0,0,0,129063202,9352,1558754001,617359982,83588,48107310,0,136126315,0,65408723,1944990,234055831,0,18175788,23,0,26948,738029606,617356233,0,0,1017631,709136190,0,0,14442169,198456351,80837681,0,74200878,124682963,290576,307793,103944,0,4238026,0,2629591,87385322,0,290576,0,3,563998,607324081,26491210,0,1015,32535121,2,1,0,2194679186,0,216805022,0,26,53499054,637017,2477569,1588874,14359207,719332,209601,7,110041544,287407922,0,713215850,21,0,0,0,1056962874,0,0,39907,549049,1140575112,1149722,0,1612070975,23123362,606071984,0,0,11760773,491350221,23588336,316026508,52730473,415861,0,214253770,36563497,0,183452,171869440,62028513,118491,1554,1101372,15581247,1424588244,0,0,15625265,49331686,24840328,813889548,
41490303,916107678,1,2482710,230020,17678391,5681162,745966,0,30483611,740017888,0,2056453530,119805,423793,0,0,5683639,0,0,2286147,0,12897240,63050719,387754,511893,0,0,0,140204676,10106,1321872334,823477796,86413,26401308,0,137926312,0,63244125,2085550,217138633,1,17948124,96,0,31704,802212204,823476939,0,0,934657,700131130,0,0,11816811,303860625,125733956,0,93075465,124515341,285510,332742,76686,0,4296478,0,2582092,88216990,0,285508,0,0,562961,607458856,42153879,0,1016,38874790,24,32,0,2194684690,0,213901511,0,26,57091352,432412,2705420,1592825,20741878,914266,169542,4,109258984,231742604,0,1449447472,384,0,0,0,1156262970,0,0,14460,557110,1244306418,1170766,10,1406287857,23075829,740030360,0,0,3123247,524927040,23643358,320286810,53136523,574147,0,181508400,44744865,0,151403,173738189,71341745,92069,1508,409332,17924756,1114718774,0,0,88036636,48995747,13847174,784775670,
7953834,771677071,1,2495222,1541269,5160855,6144935,868259,0,36657664,715046094,9399112,1872659223,101112,65813,0,0,3909430,0,0,2968740,0,12086591,31387015,361931,50228,0,0,0,90516982,8903,1344736584,763039768,80029,1222,0,118029815,0,67947323,2004002,208446076,0,17022325,67,0,28910,521983280,763039420,0,0,65638,709654170,0,0,84845,497240794,122261538,0,108232405,135235809,262144,380866,81538,0,5809740,0,3275408,70192479,0,262144,0,1,628177,476274095,51216715,0,1001,35330184,36,4,13885,2194648474,0,139118479,0,24,62105054,153874,2939229,1662601,58562746,320126,20903,1809,111841194,232958478,11847965,2737723147,576,0,0,0,819852540,0,0,350,517737,1377355102,1227540,2,429338683,21195215,715057340,0,0,291246,492580878,22154816,297833040,42052122,279375,0,187545586,39671866,0,188320,108350150,66369582,96587,1531,65463,16665441,964371801,0,0,98782248,50321918,130730,672874680,
10079605,425593593,1,1738916,1541685,6473681,7285907,284105,0,15838296,500024391,182303084,1565260302,48,65336,0,387,2503903,0,0,3186236,0,19752597,166750132,317047,51762,0,0,0,683295772,102656,1397371197,721570744,40480,261050,0,809261,0,52699103,1373930,2294967,0,34,30,0,66652,3295433647,721570208,0,0,65199,1690960747,0,0,7218336,516856060,62823019,0,85175241,137321350,262144,538265,104894,0,6679278,0,3491528,24739243,4,262144,0,0,640774,397745,39503372,0,1001,40576440,266351,1,269281,2194689432,0,138015097,0,29,62741725,191758,2642511,1793090,91909020,9284,15857,1,88543962,237289635,60740749,2844837331,150,0,0,0,3493328203,0,0,2,424644,1520546140,712868,29,429899726,15208169,500047328,0,0,286673,855262886,15738375,243391560,14904897,282678,0,165308781,45715482,0,46541,131712457,17219954,65408,10,65334,4313393,1289371107,0,0,132768157,40188604,15051708,697137,
8879252,436885748,0,9026,1541067,6390968,5927735,125314,91421642,10354144,497662866,197676665,1920585207,31498,65252,0,70,2218126,0,0,4156979,0,18798942,130722130,6298,51842,0,40075240,12836866,812491652,340464,1472034122,989887408,14936,29543113,0,673848,0,553891,2236377,2666895,0,13806,32,0,420370,3870963610,989887419,0,0,65146,1768501617,0,0,11057543,544094990,386994517,0,17176906,385681905,34,594102,4681,0,6530765,0,4925158,25929742,8,34,0,0,100457,392094,309804,73990308,1001,24505562,758834,1,291994,1792996043,0,91670765,0,2,61357924,191717,3439067,1457709,101027777,129240,16596,1,26991202,567387475,49611250,2997846709,401,0,0,0,4063809720,0,0,0,1882,1460486906,65324,22,430601392,407835,497652761,0,0,293568,1520455641,7616,3529394,15656155,316639,0,246307198,12080122,0,13013,129346071,1533,45843,29,65252,733,1393878453,0,0,143652051,12700517,22867645,565044,
7609051,415451327,1,9000,1101287,6718565,7520677,126541,112525943,9529172,506861811,169312655,2194679872,63358,963304,0,70,2250637,0,0,4250933,0,17536088,123383494,5834,56616,0,49326441,15800141,707359529,394827,1665519444,989838924,10,44359691,0,526864,0,7611,2567887,2351654,0,21351,32,0,293874,3369057522,989838881,0,0,65435,1769269620,0,0,14433965,615700858,475383208,0,20270163,436250973,1,562502,53179,0,6534061,0,5021328,25172461,8,0,0,0,2002,393065,37498021,264259297,1002,17752028,758969,1,250082,1699714810,0,93772514,0,5,60546611,188068,5040799,1852549,96057962,1062438,20103,1,17080584,693396994,62384700,3389831327,130,0,0,0,3534385088,0,0,32867,118,1427950514,65594,25,430692908,407725,506844068,0,0,367265,1762701441,7445,616137,14947502,294279,0,184065329,9437512,0,14020,138612668,19028,28419,32,930438,7069,1067288562,0,0,110059516,7991302,28419568,11165917,
18982471,398643317,8,8997,772464,5418067,7349295,108726,112578312,9637643,743082966,163947131,1917883995,121453,1297421,0,35,2291835,0,0,4262245,0,19430943,119147915,5207,50604,0,49349393,15807519,599273966,348047,1432629745,989892265,1,55578578,0,385023,0,20300,3902478,2329297,0,5563613,35,0,296793,2854976569,989891839,0,0,65359,1295110028,0,0,15808813,529710993,694620726,0,21073244,436197299,0,611370,65537,0,6056080,0,5032535,24943748,4,1,0,0,1998,394718,31865008,264459213,1002,17801615,759017,1,242156,1700330027,0,138864145,0,8,59532068,153083,5045462,1808899,97941358,903219,206998,1,27214061,683850069,61184430,2917606789,19,0,0,0,2996956563,0,0,39224,471,1442150507,65198,38,738587209,407719,743067919,0,0,8798824,1553768914,7596,511149,14211706,368959,0,186002184,9033011,0,10819,114187727,46343597,70218,36,1258196,11635106,1261766471,0,0,21172946,12811242,32500639,3823397,
43413977,434755198,7,843692,369110,17460905,6874077,97986,112523465,8924306,777899600,148127166,2194744201,85938,1097223,0,0,2522601,0,0,4301001,0,12060728,60448840,319363,1081479,0,49325358,15799785,656847571,97521,1573240710,989893170,63826,63196230,0,261503,0,50515079,4029766,23518323,1,16851735,43,0,159355,3129009101,989892918,0,0,1078957,713172560,0,0,12463962,169735951,728697749,0,80999490,435815005,0,386266,87881,0,5862055,0,5070537,26345153,0,0,0,0,1997,395464,39568910,264434636,854,30368640,636642,1,218794,1699605744,0,196423788,0,4,46481950,485927,5063599,1773450,22740912,864915,280291,1,32743705,223712816,37095220,624679620,32,0,0,0,3284101730,0,0,38070,234,1364260935,65563,37,1357935660,407747,777889611,0,0,12798146,748111751,7546,623980,15673880,673599,0,146095613,29998847,0,9998,154145371,44204278,65607,36,1059151,11105914,1570245829,0,0,24248387,15241428,24556591,338081430,
