DISPATCH_STALL_FOR_BRANCH_ABORT,CPU_READ_COMMAND_LATENCY_TO_TARGET_NODE_0_3,PIPELINE_RESTART_DUE_TO_INSTRUCTION_STREAM_PROBE,SEGMENT_REGISTER_LOADS,RETURN_STACK_OVERFLOWS,L3_CACHE_MISSES,DISPATCH_STALL_WAITING_FOR_ALL_QUIET,MEMORY_CONTROLLER_TURNAROUNDS,RETIRED_SSE_OPERATIONS,CPU_IO_REQUESTS_TO_MEMORY_IO,PERF_COUNT_SW_TASK_CLOCK,RETIRED_MMX_AND_FP_INSTRUCTIONS,CPU_CLK_UNHALTED,INTERRUPTS_MASKED_CYCLES_WITH_INTERRUPT_PENDING,INSTRUCTION_CACHE_MISSES,SMIS_RECEIVED,FP_SCHEDULER_CYCLES,CPU_READ_COMMAND_REQUESTS_TO_TARGET_NODE_0_3,CPU_READ_COMMAND_REQUESTS_TO_TARGET_NODE_4_7,RETIRED_CLFLUSH_INSTRUCTIONS,RETIRED_TAKEN_BRANCH_INSTRUCTIONS_MISPREDICTED,HYPERTRANSPORT_LINK3,DISPATCH_STALL_FOR_SERIALIZATION,DISPATCH_STALL_FOR_RESERVATION_STATION_FULL,INEFFECTIVE_SW_PREFETCHES,PERF_COUNT_HW_CACHE_MISSES,GLOBAL_TLB_FLUSHES,RETIRED_MOVE_OPS,DISPATCHED_FPU_OPS_FAST_FLAG,RETIRED_BRANCH_INSTRUCTIONS,MEMORY_REQUESTS,PERF_COUNT_HW_CPU_CYCLES,HYPERTRANSPORT_LINK1,L1_DTLB_MISS_AND_L2_DTLB_HIT,DATA_CACHE_LINES_EVICTED,MEMORY_CONTROLLER_PAGE_TABLE_OVERFLOWS,LOCKED_OPS,CPU_REQUESTS_TO_TARGET_NODE_0_3_4_7,L2_FILL_WRITEBACK,PERF_COUNT_HW_BRANCH_MISSES,INTERRUPTS_MASKED_CYCLES,INSTRUCTION_CACHE_LINES_INVALIDATED,DISPATCH_STALL_FOR_SEGMENT_LOAD,ITLB_RELOADS,GART,SIZED_COMMANDS,RETIRED_INSTRUCTIONS,HYPERTRANSPORT_LINK0,DR2_BREAKPOINT_MATCHES,RETIRED_X87_OPS,INSTRUCTION_CACHE_VICTIMS,DATA_CACHE_ACCESSES,DATA_PREFETCHES,CPU_COMMAND_LATENCY_TO_TARGET_NODE_0_3_4_7,DATA_CACHE_REFILLS_FROM_SYSTEM,PERF_COUNT_HW_CACHE_REFERENCES,PERF_COUNT_HW_BRANCH_INSTRUCTIONS,PIPELINE_RESTART_DUE_TO_SELF_MODIFYING_CODE,REQUESTS_TO_L2,RETIRED_TAKEN_BRANCH_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,RETIRED_BRANCH_RESYNCS,PREFETCH_INSTRUCTIONS_DISPATCHED,PERF_COUNT_HW_CACHE_ITLB,CANCELLED_STORE_TO_LOAD_FORWARD_OPERATIONS,LFENCE_INST_RETIRED,RETIRED_MISPREDICTED_BRANCH_INSTRUCTIONS,MEMORY_CONTROLLER_REQUESTS,RETIRED_SERIALIZING_OPS,PERF_COUNT_SW_PAGE_FAULTS_MIN,FPU_EXCEPTIONS,PERF_COUNT_SW_CPU_MIGRATIONS,RETIRED_FAR_CONTROL_TRANSFERS,LS_BUFFER_2_FULL_CYCLES,L2_CACHE_MISS,DISPATCHED_FPU,INTERRUPTS_TAKEN,PROBE,MFENCE_INST_RETIRED,L1_ITLB_MISS_AND_L2_ITLB_HIT,RETIRED_FASTPATH_DOUBLE_OP_INSTRUCTIONS,CYCLES_NO_FPU_OPS_RETIRED,IO_TO_DRAM_REQUESTS_TO_TARGET_NODE,DISPATCH_STALL_FOR_REORDER_BUFFER_FULL,PERF_COUNT_SW_PAGE_FAULTS_MAJ,MISALIGNED_ACCESSES,DECODER_EMPTY,L3_FILLS_CAUSED_BY_L2_EVICTIONS,PERF_COUNT_HW_CACHE_BPU,DISPATCH_STALL_FOR_FAR_TRANSFER_OR_RSYNC,RETIRED_NEAR_RETURNS,RETIRED_NEAR_RETURNS_MISPREDICTED,L3_EVICTIONS,PERF_COUNT_SW_CONTEXT_SWITCHES,MEMORY_CONTROLLER_SLOT_MISSES,INSTRUCTION_CACHE_FETCHES,DISPATCH_STALL_FOR_FPU_FULL,PERF_COUNT_HW_INSTRUCTIONS,L1_ITLB_MISS_AND_L2_ITLB_MISS,RETIRED_CPUID_INSTRUCTIONS,SFENCE_INST_RETIRED,HYPERTRANSPORT_LINK2,RETIRED_UOPS,CPU_READ_COMMAND_LATENCY_TO_TARGET_NODE_4_7,DR3_BREAKPOINT_MATCHES,INSTRUCTION_CACHE_REFILLS_FROM_SYSTEM,L1_DTLB_AND_L2_DTLB_MISS,THERMAL_STATUS_AND_ECC_ERRORS,PERF_COUNT_HW_CACHE_L1I,ITLB_RELOADS_ABORTED,DISPATCH_STALLS,PERF_COUNT_HW_CACHE_L1D,PERF_COUNT_SW_CPU_CLOCK,PAGE_SIZE_MISMATCHES,SCRUBBER_SINGLE_BIT_ECC_ERRORS,DATA_CACHE_MISSES,L1_DTLB_HIT,PERF_COUNT_HW_CACHE_LL,MICROARCHITECTURAL_LATE_CANCEL_OF_AN_ACCESS,CPU_TO_DRAM_REQUESTS_TO_TARGET_NODE,RETIRED_INDIRECT_BRANCHES_MISPREDICTED,IBS_OPS_TAGGED,MICROARCHITECTURAL_EARLY_CANCEL_OF_AN_ACCESS,CACHE_BLOCK,DR1_BREAKPOINT_MATCHES,MEMORY_CONTROLLER_BYPASS,READ_REQUEST_TO_L3_CACHE,QUADWORDS_WRITTEN_TO_SYSTEM,DCACHE_MISSES_BY_LOCKED_INSTRUCTIONS,PIPELINE_RESTART_DUE_TO_PROBE_HIT,INSTRUCTION_CACHE_REFILLS_FROM_L2,SYSTEM_READ_RESPONSES,INSTRUCTION_FETCH_STALL,PERF_COUNT_HW_CACHE_DTLB,DR0_BREAKPOINT_MATCHES,RETURN_STACK_HITS,DRAM_ACCESSES_PAGE,DATA_CACHE_REFILLS,DISPATCH_STALL_FOR_LS_FULL,
25614677,163380715,407,109804,124157,3996246,3715285,9913,45577,1985146,481320251,209072980,738504493,52018,4506493,0,42110,1519453,2073,12239,4011347,403,4399173,171468899,26966,4446597,1,208900,282600,153424237,19895,514172001,742035073,1427039,5786866,1050571,22264700,0,14064382,4367658,25215045,342,1639904,102933,0,0,2290737422,742021494,0,0,4615890,227313072,0,94709,1490902,157882527,67033885,1,15583862,118978350,8736,125915,13674,0,912703,22,5976247,8169488,3236,8735,0,31,55592,9613341,4353007,8173178,1107,0,86464,1492425,1098463,475402656,22960,170391759,1,383038,131743120,119432,5597159,477379,15869589,219505,919,261,17061774,247939910,9886,466732642,54594,257,29,742060719,2384144319,208644,0,861424,127885,971283654,4471936,22198,232553071,3168924,481561536,0,0,3048422,1062924128,1873479,18637529,5016055,1501891,0,98454952,0,0,1583,14408754,6537373,62549,65291,3645083,3085259,1289193259,0,0,19253907,7012428,4106570,99155360,
1426032,324656586,10,37744,218819,4190255,408244,8817,2571115264290405,3609343,8266464980,403881248,2195104236,0,16863,0,14475,1909718,2606,9545,104040,0,535885,322387575,3392,211899,0,1303159234300404,9151143353099,95630009,12337,875170275,989092548,22712013172004,8028624,148547,26651809,0,6026897,48557828,3918638,425,149371,145181,0,0,3402455993,989090267,0,0,6431628,400170803,0,119030,3097970,223223107,974717545,0,7389655,94096279,155198,808,4319,0,272744,0,910481,15926391,1112,155187,0,537,3348,16929742,2802171,311322109,1004,0,4,24,8,9125265975410914,22987,250619706,0,5816359488372,2524165,169907,381665,21326,824850,3870,21,7394,30351687,208987168,4921,1321165508,11,51,0,989094686,3405807806,262208,0,7092,4742280622345,1977528099,209682,5,311519502,726916,8269978564,0,0,2268057,1625108149,635121,440124628322648,9515297,4213,0,168668188,0,0,1787,7030468,28327956,4358,97634,9771,7265748,1640180618,0,0,808898,11064930,4638574,386740728,
1579663,327698189,17,26837,256,2495111,349717,10868,1069561625597302,3956296,654279882,403602951,2194885206,0,21936,0,10289,1908362,2604,0,125480,0,393418,325253646,3227,5578,0,520125787565979,155922646052,95667397,12223,647197159,986720126,6817512319,4924927,28248,3648764,0,5770022,546165,3858793,0,134315,7187841292,0,157525,3404089473,986714507,0,0,80,408679326,0,118944,2639716,169942382,114574211,0,7378821,94430054,103338,782,4421,0,2724,0,934044,16040600,791,103332,0,1,3992,1325741,2786217,564012309,1004,20710579,19,6,44,19625581706639,26291,247470853,0,0,2572914,33763,487376,18917,780965,3204,4,3434,27614738,212158038,0,1056995165,0,0,0,986725725,3407343124,262021,0,9053,99478245140,1977846671,12620,6,310616445,772850,653543991,0,0,328134,1627533046,634170,24508295629441,9642062,3969,0,173843396,16915280,0,2298,5183223,28134705,4410,668,12884,7216431,1640006630,0,0,800924,9918324,2344667,388917816,
1525793,344678620,19,694178,1251,2732653,375848,7028,370857069966926,3428393,963370860,405179829,2194883633,0,23983,0,224010,1909613,2605,0,89272,0,652446,324197197,3499,615194,0,180504464661177,86308122933,95652796,12356,1229269786,985535979,0,5296504,31945,1057186,0,5672300,99801,3772595,0,167549,0,0,81600,3403875087,985528400,0,0,391,548957096,0,119023,2653907,306244155,83734924,5,7268998,93350399,0,763,4365,0,8740,0,894673,16443218,17047,0,0,29,2788,4522,2759898,465539596,1004,8283176,4,27,48,38474958020713,59017,249910354,0,0,2691762,51466,463552,24343,781480,3327,2,581,24523045,212644166,0,1887555595,0,0,0,985543610,3407110932,262194,0,9800,779544514578,1978326701,1333929,3,308864839,2416938,963444836,0,0,620859,1626356054,1528066,21018491603939,9886587,4214,0,173951403,6239690,0,1364,8306147,28145602,4621,147,14182,7219462,1640268742,0,0,800082,8834795,2662911,386265297,
1531637,348977700,16,1426702832450,1052,2748977,449057,6697,27038471767517,3258242,789882748,405050805,2194892069,0,18998,0,304852213166,1909551,2606,0,96399,0,524793,325273842,3223,28791,0,13141220355750,3142870541,95767380,12206,2174813034,986709974,0,5474306,22501,6777737,0,5699434,7093,3765922,0,152634,0,0,60284,3404913438,986704593,0,0,1114,590249944,0,119019,2691366,543766649,84172821,5693120,7141765,94319053,0,744,4392,0,7280,0,902316,18144278,23114474818,0,0,55,3210,1441482,2769923,435697295,1005,8404108,19,8,48,37088838930012,503781,247720370,0,0,2723402,50960,447151,31216,780304,3582,1,302,23487446,212556765,0,3348528718,0,0,0,986715347,3408170817,262185,0,8240,1498028133615,1978320814,297242,5,308382330,1065399,789937506,0,0,738866,1227844763,738908,13836758192103,10583200,4004,0,174025630,6613316,0,1202,8371027,28012966,4607,26,10761,7191706,1640231003,0,0,801632,8345084,2790496,382968676,
1546773,322361708,8,202656413021,1213,2868498,379407,7298,85323037589176,3463694,750406020,404341804,2194864023,0,14763,0,1053931778,3830763,0,56386,90074,0,396443,325022161,3004,19659,0,42187061336291,128459298586,95634582,12087,2128640421,983457722,0,5473476,6911,2759237,0,5691748,62515,3797326,0,133468,0,0,109909,3402785608,983446307,0,0,1163,587164547,0,186,2681496,529921950,50709622,103465,7062320,94309968,0,668,4397,0,26651,0,905844,15568769,84892452,0,0,5,2840,2749166,2769206,364662672,1004,8727900,4,1,48,36353308809721,10725,249249585,0,0,2988792,51952,342274,26201,781540,3280,2,1741,25538641,212624871,0,3250515581,0,0,0,983468982,3406040015,152,0,5826,1194666377998,1978287791,488,7,308369582,790160,753462860,0,0,741463,624975926,631855,9765583119420,9325782,3892,0,173690039,6824390,0,1350,8834583,27914177,4651,588,8937,7166367,1639659119,0,0,799956,9281777,2796877,384501847,
1546691,329794052,13,9687567847,1697,3089673,379111,7368,10718489932448,3532733,843760326,404659836,2194854755,0,18992,0,1172100892,2096185,2,0,106313,0,138053,325377239,3002,88752,0,5228407359729,4376941091,95712226,12037,1970247665,987471665,0,7311256,22716,12916012,0,5894142,90214,3773125,0,113186,0,0,120454,3403247400,987467382,0,0,1427,584301222,0,299,3613417,493205017,4307101,0,7772109,94362312,0,758,4184,0,7890,0,913455,15847999,88320472,0,0,2,3598,2695006,2805693,497585009,1004,9381613,119,11,48,33282020865690,669,248498919,0,0,2743943,67906,430860,25946,782684,3516,1,624,23852139,211963311,0,3033120461,0,0,0,987475892,3406494752,146,0,8019,779034526004,1978345887,7119,4,306366794,816369,846015625,0,0,945306,624623637,639789,6855432087479,9507700,3873,0,173881416,7526121,0,1318,11415548,28341234,4669,599,10973,7310835,1640223950,0,0,799128,8416720,3699918,384893511,
1550881,334264129,16,8991242912,2659,3813956,374773,10356,65730600960517,3678946,568175990,402403013,2194868485,0,14006,0,752330461,2727820,1,0,200734,0,141403,325667127,3004,147076,0,32621813222789,119095351557,95664193,12040,797764210,986316075,0,4153297,36928,37014897,0,5675179,36138,4046423,0,113820,0,0,65604,3403917473,986310025,0,0,2243,590614260,0,323,2019324,211079900,49785098,0,6988936,94769387,0,677,4063,0,25727,0,1006104,16113426,56389947,0,0,1,8234,703333,2762284,885727775,1004,8777729,26,5,48,8831893806740,318793,249089543,0,0,2842469,57330,871585,25496,777633,2360,2,5880,23261270,212879574,0,1290081537,0,0,0,986322603,3407168067,78,0,5062,547477830366,1977641794,76446,5,306169671,803059,568353965,0,0,590552,624644696,613457,742988565409,9633647,3585,0,174393281,6997366,0,1821,9066612,28363870,4346,388,8945,7313860,1640097717,0,0,799368,8241388,2136009,384060748,
1544553,323437258,13,6064649273,2638,3573462,412709,8573,73289345342626,3688576,649554153,403514676,2194752734,0,21004,0,932822590,2665743,1,0,362065,0,128966,324744405,3010,2608,0,36387533065467,135171456961,95606355,12030,660378235,986719223,0,5032636,7097,24035979,0,5681433,218062,4222657,0,111724,0,0,60025,3401355524,986713008,0,0,2108,497477673,0,165,2466704,167937276,3885908,0,7651823,95527902,0,676,4302,0,6812,0,1169489,15841289,67346502,0,0,4,14716,702528,2764904,811698647,1004,8372392,15,4,48,26494485895134,305390,250264998,0,0,2826918,84388,795445,29449,782720,2775,0,4679,23742379,212373949,0,1027332029,0,0,0,986724526,3404609979,68,0,8601,405005298524,1977830643,121952,10,306256962,811436,649753330,0,0,682693,624712534,604747,7662288919337,9556326,3855,0,173531096,6635999,0,1837,8674934,28366005,4961,4555,12403,7314728,1639809886,0,0,799006,8401741,2567261,383790176,
1477748,438324379,13,8380199323,2308,3496882,400150,7303,33416029462203,3728967,829763836,405733530,2194835649,0,17004,0,561645365,2232004,0,0,353336,0,120079,325875005,3009,8147,0,16574870457049,58992453818,95750320,12063,617617021,984494839,0,4491342,19651,2319978,0,5700008,150709,4051352,0,112830,0,0,102168,3403903563,984485755,0,0,2457,427144784,0,22307,2191354,161399175,70807502,0,9125078,95597391,0,825,4146,0,6049,0,1155042,18403692,42506388,0,0,2,15382,750127,2772559,408718498,1004,8678655,14,17,48,25217861480815,290935,249558765,0,0,2919313,91307,345504,27725,781932,4272,3,5444,23733332,213721361,0,983501078,0,0,0,984504142,3407174717,131,0,7103,134359601689,1977794433,118543,8,305349539,815617,829877837,0,0,621208,624884476,603827,15857544163058,10403181,4279,0,174000494,6928763,0,1294,8672239,28274075,5149,8906,9900,7270321,1639945418,0,0,799798,8397868,2300706,383921962,
