DISPATCH_STALL_FOR_BRANCH_ABORT,CPU_READ_COMMAND_LATENCY_TO_TARGET_NODE_0_3,PIPELINE_RESTART_DUE_TO_INSTRUCTION_STREAM_PROBE,SEGMENT_REGISTER_LOADS,RETURN_STACK_OVERFLOWS,L3_CACHE_MISSES,DISPATCH_STALL_WAITING_FOR_ALL_QUIET,MEMORY_CONTROLLER_TURNAROUNDS,RETIRED_SSE_OPERATIONS,CPU_IO_REQUESTS_TO_MEMORY_IO,PERF_COUNT_SW_TASK_CLOCK,RETIRED_MMX_AND_FP_INSTRUCTIONS,CPU_CLK_UNHALTED,INTERRUPTS_MASKED_CYCLES_WITH_INTERRUPT_PENDING,INSTRUCTION_CACHE_MISSES,SMIS_RECEIVED,FP_SCHEDULER_CYCLES,CPU_READ_COMMAND_REQUESTS_TO_TARGET_NODE_0_3,CPU_READ_COMMAND_REQUESTS_TO_TARGET_NODE_4_7,RETIRED_CLFLUSH_INSTRUCTIONS,RETIRED_TAKEN_BRANCH_INSTRUCTIONS_MISPREDICTED,HYPERTRANSPORT_LINK3,DISPATCH_STALL_FOR_SERIALIZATION,DISPATCH_STALL_FOR_RESERVATION_STATION_FULL,INEFFECTIVE_SW_PREFETCHES,PERF_COUNT_HW_CACHE_MISSES,GLOBAL_TLB_FLUSHES,RETIRED_MOVE_OPS,DISPATCHED_FPU_OPS_FAST_FLAG,RETIRED_BRANCH_INSTRUCTIONS,MEMORY_REQUESTS,PERF_COUNT_HW_CPU_CYCLES,HYPERTRANSPORT_LINK1,L1_DTLB_MISS_AND_L2_DTLB_HIT,DATA_CACHE_LINES_EVICTED,MEMORY_CONTROLLER_PAGE_TABLE_OVERFLOWS,LOCKED_OPS,CPU_REQUESTS_TO_TARGET_NODE_0_3_4_7,L2_FILL_WRITEBACK,PERF_COUNT_HW_BRANCH_MISSES,INTERRUPTS_MASKED_CYCLES,INSTRUCTION_CACHE_LINES_INVALIDATED,DISPATCH_STALL_FOR_SEGMENT_LOAD,ITLB_RELOADS,GART,SIZED_COMMANDS,RETIRED_INSTRUCTIONS,HYPERTRANSPORT_LINK0,DR2_BREAKPOINT_MATCHES,RETIRED_X87_OPS,INSTRUCTION_CACHE_VICTIMS,DATA_CACHE_ACCESSES,DATA_PREFETCHES,CPU_COMMAND_LATENCY_TO_TARGET_NODE_0_3_4_7,DATA_CACHE_REFILLS_FROM_SYSTEM,PERF_COUNT_HW_CACHE_REFERENCES,PERF_COUNT_HW_BRANCH_INSTRUCTIONS,PIPELINE_RESTART_DUE_TO_SELF_MODIFYING_CODE,REQUESTS_TO_L2,RETIRED_TAKEN_BRANCH_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,RETIRED_BRANCH_RESYNCS,PREFETCH_INSTRUCTIONS_DISPATCHED,PERF_COUNT_HW_CACHE_ITLB,CANCELLED_STORE_TO_LOAD_FORWARD_OPERATIONS,LFENCE_INST_RETIRED,RETIRED_MISPREDICTED_BRANCH_INSTRUCTIONS,MEMORY_CONTROLLER_REQUESTS,RETIRED_SERIALIZING_OPS,PERF_COUNT_SW_PAGE_FAULTS_MIN,FPU_EXCEPTIONS,PERF_COUNT_SW_CPU_MIGRATIONS,RETIRED_FAR_CONTROL_TRANSFERS,LS_BUFFER_2_FULL_CYCLES,L2_CACHE_MISS,DISPATCHED_FPU,INTERRUPTS_TAKEN,PROBE,MFENCE_INST_RETIRED,L1_ITLB_MISS_AND_L2_ITLB_HIT,RETIRED_FASTPATH_DOUBLE_OP_INSTRUCTIONS,CYCLES_NO_FPU_OPS_RETIRED,IO_TO_DRAM_REQUESTS_TO_TARGET_NODE,DISPATCH_STALL_FOR_REORDER_BUFFER_FULL,PERF_COUNT_SW_PAGE_FAULTS_MAJ,MISALIGNED_ACCESSES,DECODER_EMPTY,L3_FILLS_CAUSED_BY_L2_EVICTIONS,PERF_COUNT_HW_CACHE_BPU,DISPATCH_STALL_FOR_FAR_TRANSFER_OR_RSYNC,RETIRED_NEAR_RETURNS,RETIRED_NEAR_RETURNS_MISPREDICTED,L3_EVICTIONS,PERF_COUNT_SW_CONTEXT_SWITCHES,MEMORY_CONTROLLER_SLOT_MISSES,INSTRUCTION_CACHE_FETCHES,DISPATCH_STALL_FOR_FPU_FULL,PERF_COUNT_HW_INSTRUCTIONS,L1_ITLB_MISS_AND_L2_ITLB_MISS,RETIRED_CPUID_INSTRUCTIONS,SFENCE_INST_RETIRED,HYPERTRANSPORT_LINK2,RETIRED_UOPS,CPU_READ_COMMAND_LATENCY_TO_TARGET_NODE_4_7,DR3_BREAKPOINT_MATCHES,INSTRUCTION_CACHE_REFILLS_FROM_SYSTEM,L1_DTLB_AND_L2_DTLB_MISS,THERMAL_STATUS_AND_ECC_ERRORS,PERF_COUNT_HW_CACHE_L1I,ITLB_RELOADS_ABORTED,DISPATCH_STALLS,PERF_COUNT_HW_CACHE_L1D,PERF_COUNT_SW_CPU_CLOCK,PAGE_SIZE_MISMATCHES,SCRUBBER_SINGLE_BIT_ECC_ERRORS,DATA_CACHE_MISSES,L1_DTLB_HIT,PERF_COUNT_HW_CACHE_LL,MICROARCHITECTURAL_LATE_CANCEL_OF_AN_ACCESS,CPU_TO_DRAM_REQUESTS_TO_TARGET_NODE,RETIRED_INDIRECT_BRANCHES_MISPREDICTED,IBS_OPS_TAGGED,MICROARCHITECTURAL_EARLY_CANCEL_OF_AN_ACCESS,CACHE_BLOCK,DR1_BREAKPOINT_MATCHES,MEMORY_CONTROLLER_BYPASS,READ_REQUEST_TO_L3_CACHE,QUADWORDS_WRITTEN_TO_SYSTEM,DCACHE_MISSES_BY_LOCKED_INSTRUCTIONS,PIPELINE_RESTART_DUE_TO_PROBE_HIT,INSTRUCTION_CACHE_REFILLS_FROM_L2,SYSTEM_READ_RESPONSES,INSTRUCTION_FETCH_STALL,PERF_COUNT_HW_CACHE_DTLB,DR0_BREAKPOINT_MATCHES,RETURN_STACK_HITS,DRAM_ACCESSES_PAGE,DATA_CACHE_REFILLS,DISPATCH_STALL_FOR_LS_FULL,
26730377,144417511,482,128864,146897,0,3864036,50009,46071,7658533,534680158,2479152,531516383,77179,5149599,0,56459,245236,1673119,12239,3872321,0,4988227,37738712,19615,5142701,0,190362,256677,85834832,20644,519106689,45506533,1366643,5196048,1381604,26876303,326707,12572562,4988028,32311658,751,1136389,81555,0,85885,457263451,46000661,0,0,5063970,200547296,0,1299083,1254012,149649513,74499944,1,14623215,58486413,12732,142406,10984,0,595238,574,5410760,5694950,3561,12731,0,48,41628,15950259,3175044,4147921,819,3163425,88607,1475079,1097692,466486438,8140,21419744,1,356594,133428165,0,5366316,488083,9347260,221190,0,1985,14090517,159765514,9413,428237719,57929,117,20,45116349,527923651,0,0,904243,111641,1218158945,4335096,20594,133078085,2925164,534789239,0,0,2840620,237811892,1768018,15692613,4806811,1541963,0,84407294,2701568,0,2321946,0,4689065,55010,129378,4245377,2765218,368953392,0,0,12899257,3300626,3772361,55519724,
8809547,60944201,24,4061,51534,0,976071,1093,55520,1021602,21803964540759614,3179837,90341306,211154,1263895,0,3101,890092,4084028,1,278595,0,1646355,5563347,1727,121355354182686,0,271909,374163,9610527,23413,11445410300866191,116580920,23697648,2290650,2304625,18838674,810666,41363723,178592890045670,148216020,5,5486,360,0,63136,56079899,117116034,0,0,1601023,3855681571,0,2736067,612966,3176518332214720,2786036701711418,0,50669855,7353023,2,50762,2214,0,47604940,114,317279,2028719,11,2,0,1,227,7775387,10600444,2208,206,1438476,4646,1576,1284181,754728330,28123,9877679,0,6130682,23847756,0,696333,136308,1764274,76363,0,7944,37937597,480827522,40,9166201301705933,5,3329,0,116230991,83666608,490147,0,191927,2156692,150084831,2514956,614,42245097,1070964,22018704158004689,0,0,1067497,39936942,184950,373104765,1339592,76271,0,6127568,1016605,0,65,0,419342,22786,40180,1071967,808334,74608557,0,0,2129104,9796300,1656601,14442198,
154661179,575710292,2822,6775,1673190,0,18760906,2041,473775,1050721,94632196,543324969,3459893521,30522,55996654,0,5967,3641486,178446,0,271810,0,1643559,5807158,1591,4945828467023,0,2507090,3215346,491746665,20657,40797668818856,125798231,6058298,1695740,4941242,21981155,29383,32046691,1665045982740,28259294,1814,6926,219489,0,351415,2647664463,124274032,0,0,56132343,72417978,0,4434069,321656,52549187660771,117251552040159,0,33986018,6185967,1,841865,1735,0,28627643,1,308755,22228161,7,1,0,1,277,7929897,2535255,1403,4174,16133505,5215,4359097,14777912,48399675,91266,9510841,0,951182,689906844,0,391283,3475810,50918226,1477049,0,7461,24358401,5014478,27875,162902343117824,290613,274,0,124058777,3512365501,1032541,0,4023052,816385,146855164,2923656,61731,781483871,1223455,132983512556692,0,0,923368,34991060,244767,39303823,16957240,6097292,0,6273062,15606881,0,9857093,0,35589257,22828,73544,51973849,21061319,2692433286,0,0,88088172,7037711,1367623,385459251,
11456555,66725946,229,8399,223844,0,2694278,5110,162273950,1402535,42985216,605767555,203854515,22449,5990062,0,8320,5899641,424848,0,213391,0,1688363,5598521,321063,7097732921847,0,50486256,52204439,316591,344924,514079314708618,116052087,655691,1774529,127998709449,20782948,285770,4103017,1882897073811,19086726,2941,11447,374508,0,201506,17118252,116791754,0,0,3413303,2230410146,0,5510408,250426,63509304204094,46080719095522,0,7916919,4814693,4,100125,2143,0,21804101,6,242063,4222903,7,4,0,3,182,9195540,1135565,17195,385,5969974,6110,4704405,20773493,134323131,12667,9294401,0,2751368,86973884,0,419739,21319,8522744,342362,0,6362,8117967,12480976,44513786,215769929600312,531828,1266,0,117038808,32692271,1936459,0,222053,80203,181800567,2231475,90731,114789790,1039392,23656073845632,0,0,1033485,2547539733,479554,367116904,2660928,44697,0,6129367,6735850,0,4439713,0,22568667,22997,68841,6122489,2071857,408468178,0,0,11653012,2353990,1519066,24607022,
6577507,73001941,91,10443,223184,0,2241766,2025,300125177,1112938,31872600,436835078,107970562,11556,3094710,0,2085,3855037,545254,82779,304463,0,1529547,5383297,303661,14759354781572,0,96696440,60473767,4202774,169381,633718380259362,745078574,2626686,1916421,0,786265325,93564,4241925,3137282670932,17856579,13,6579,267,0,476598,27837329,745543856,0,0,3253086,34589208,0,535834,256663,380365140351034,38074899027710,0,7729460,5231857,0,98156,1757,0,61252926,1,341867,4010136,4,0,0,1,148,364152611,1119363,2554,145,3730736,5354,513,14556746,203031996,21259,8759987,0,1223,31571107,0,359679,39292,8115281,309828,0,5640,6629959,16564211,30487059,509689833647028,2294,0,0,747368017,51070797,891922,0,1994,15602,165981119,1550333,43,90709473,710078,21098540043996,0,0,1101243,165968816,157524,266486400,2354620,101407,0,5635598,1542490,0,216949342023,0,1046456,20137,2940415,2872885,1777514,326074598,0,0,9435082,1798611,1656198,21944793,
5308517,76523286,100,721,197948,0,2119885,2557,438795740,1197977,251485620,344052760,118449165,32160,3421374,0,864,2548359,167460,92304,254776,0,89236406,461021279,246838,17576937798744,0,142537420,89246446,6002460,139827,1176963408674120,196638944,2666541,134720892,0,50700032,88403,4898414,65065335586,23132395,10,8047873,573,0,597397,45807709,196725520,0,0,3084760,4642083252,0,2992639,32048531,306222378685274,38539859935423,0,8262863,7010578,27,70601,1623,0,1712516,3,294578,3957138,46957,0,0,1,303,23925827,1273385,152,106,3899190,5492,625,11576376,190888603,193297,637071692,0,1712,27064483,0,357449,60632,6006186,242351,0,5732,7401712,20887891,22070999,102516711896242,2951,0,0,196978283,59786439,2078400,0,58575,1917746,175945075,1169786,35,69155645,536496,18552459035520,0,0,66424865,71046869,108438,38580357,2200484,1369,0,5633384,1659104,0,0,0,113542217,20259,1129909,3419268,1565438,297631137,0,0,7204328,1946926,100992043,22374817,
5813633,58206543,145,516,191077,0,2257583,481,284328824,995713,105400904,300437870,127554759,24256,3274663,0,485,3174882,167463,0,286347,0,10127771,47540566,221707,24409674168517,0,92395799,58023682,9594561,126482,344646106871708,242970234,2446297,34463026,0,85193394,443972,4535605,353104537378,18751262,5,5604975,1054,0,330072,55970397,242945734,0,0,3141797,763848078,0,6366802,11106379,65479843230037,85909638097523,1,7616863,8300906,154080,59285,1466,0,2040192,1,330640,3818421,15432,154097,0,652,451,108371388,1100373,9876,132,3218805,5508,827,9958165,183081133,153741,25697335,0,2113,28139235,0,517427,82348,5141291,203178,0,406497,6874282,21949049,17787328,1320484409962814,3321,0,0,242964714,83180634,1876134,0,7416820,10484,156309186,1238989,332,66578140,533385,99520846386148,0,0,9162406,138483895,116364,48384401,1913972,38939,0,5741413,1569880,0,0,0,365949,19244,780453,3339627,1555223,263970271,0,0,7786336,1819699,23407837,23378129,
6438609,82015309,181,488,4999030,0,1523245,948,28432430,1213695,101291136,259446619,138906806,1089626,3135474,0,1967,4871150,167457,69805,421430,0,96591,46484476,241118,10319074520868,0,9203201,5409042,11387268,135305,2280519450576834,217531235,1841719,9421252,0,95575179,96560,272205366,79291751923,772936385,7,10856,1505,0,219814,8350438155,217506207,0,0,134088242,1096061224,0,668577,694591,90198966711010,76289313059720,0,341937995,5380327,56325,68411,1269,0,227261,10365,470533,4167103,784,56322,0,15,159,131152231,58645552,56678413,182,2342816,1728344,817,8698379,13267488027,92043,20352167,0,1646,34102724,0,567095,72719,5677211,208504,0,226567,383833046,1954562205,14891954,232512432826346,4874,0,361,218253871,93594423,804225,0,8252,12652,157481909,1203546,353,83251219,481994,74488804868184,0,0,5921065,149306407,253901,42438901,2301273,7688,0,5035847,1174169,0,0,0,1384839,18195,1054548,3076894,1751216,287149610,0,0,8397886,98574418,8356503,19047844,
415755105,92032531,211,584,1967,0,55332368,2681,194240132,1165547,95506172,243179439,8915812412,7767,109685393,0,9165,300704,167459,0,421677,0,273052,36977290,223428,3655003886591,0,62889672,39878190,1157051974,125288,347233229863874,207669233,1160843,8771821,0,65101196,558384,178690,1189528862847,685852,4,27085,2435,0,3539988,1547817311,208147614,0,0,36788,763642396,0,668588,831637,83181874840417,40461092967830,0,827848,3765046,88897799012,26572,1369,0,77285368,4405,468570,3589244,511,88892332826,0,299,145,75999228,86840,1321790881,12496,58804869,112258,2585,8120151,1409757719,224560,17518525,13,13,1915822236,0,121646049,7014841,2067429,121246,0,276317819811,9893879,66575950,13495073,326310548925226,3997,1850,389,207362324,10335773248,259016,0,3913,8653,184335353,270226887,823,3289581804,133032240,40577432148588,0,0,5351947,139274186,54197712,31026117,2067847,26148146,0,5141506,45836695,0,0,0,1754750,17730,825525,102268338,63019908,200096221,0,0,4500840,51748,7602789,2230618364,
225921,90625042,10472,2296225,3775,0,18204,1391,3110433,1104459,15801679188,228397624,530176830,1268,11486,0,1158582,2812676,86309,0,416892,0,362082,34159413,1421375,3999547724652,6,897257,1022869,8304491,1050954,488687403182014,204083875,38531919,7071019,0,18052900,558622,610473,1151029326324,486382,87541366,34557,1870,0,68833,1293377719,204313160,0,0,82733,737841453,0,668564,800372,106487190824682,108203243146176,25,1453165,4141622,23515346,9655,1333,0,393992,1614,481827,1487602,151,23517568,0,394558093,222,29918036,370374,1010218002,616,27706,115005,1112,7633485,10693539772,251534,17053488,4,4046801,476839,0,1952923,1117,75757,80507,0,20028606,12779766,111267512,12545915,297653752600906,4018,0,0,204262767,1236755231,259021,0,13413,12348,168321111,59804837,405,1035264325,11788505,4668990388776,0,0,4233691,13558705018,967122,55562369,902045,117445,0,5087801,473596,0,0,0,2018261,17627,313930,8132,29980,14824342,0,0,263858,1390279,6023795,821394934,
