DISPATCH_STALL_FOR_BRANCH_ABORT,CPU_READ_COMMAND_LATENCY_TO_TARGET_NODE_0_3,PIPELINE_RESTART_DUE_TO_INSTRUCTION_STREAM_PROBE,SEGMENT_REGISTER_LOADS,RETURN_STACK_OVERFLOWS,L3_CACHE_MISSES,DISPATCH_STALL_WAITING_FOR_ALL_QUIET,MEMORY_CONTROLLER_TURNAROUNDS,RETIRED_SSE_OPERATIONS,CPU_IO_REQUESTS_TO_MEMORY_IO,PERF_COUNT_SW_TASK_CLOCK,RETIRED_MMX_AND_FP_INSTRUCTIONS,CPU_CLK_UNHALTED,INTERRUPTS_MASKED_CYCLES_WITH_INTERRUPT_PENDING,INSTRUCTION_CACHE_MISSES,SMIS_RECEIVED,FP_SCHEDULER_CYCLES,CPU_READ_COMMAND_REQUESTS_TO_TARGET_NODE_0_3,CPU_READ_COMMAND_REQUESTS_TO_TARGET_NODE_4_7,RETIRED_CLFLUSH_INSTRUCTIONS,RETIRED_TAKEN_BRANCH_INSTRUCTIONS_MISPREDICTED,HYPERTRANSPORT_LINK3,DISPATCH_STALL_FOR_SERIALIZATION,DISPATCH_STALL_FOR_RESERVATION_STATION_FULL,INEFFECTIVE_SW_PREFETCHES,PERF_COUNT_HW_CACHE_MISSES,GLOBAL_TLB_FLUSHES,RETIRED_MOVE_OPS,DISPATCHED_FPU_OPS_FAST_FLAG,RETIRED_BRANCH_INSTRUCTIONS,MEMORY_REQUESTS,PERF_COUNT_HW_CPU_CYCLES,HYPERTRANSPORT_LINK1,L1_DTLB_MISS_AND_L2_DTLB_HIT,DATA_CACHE_LINES_EVICTED,MEMORY_CONTROLLER_PAGE_TABLE_OVERFLOWS,LOCKED_OPS,CPU_REQUESTS_TO_TARGET_NODE_0_3_4_7,L2_FILL_WRITEBACK,PERF_COUNT_HW_BRANCH_MISSES,INTERRUPTS_MASKED_CYCLES,INSTRUCTION_CACHE_LINES_INVALIDATED,DISPATCH_STALL_FOR_SEGMENT_LOAD,ITLB_RELOADS,GART,SIZED_COMMANDS,RETIRED_INSTRUCTIONS,HYPERTRANSPORT_LINK0,DR2_BREAKPOINT_MATCHES,RETIRED_X87_OPS,INSTRUCTION_CACHE_VICTIMS,DATA_CACHE_ACCESSES,DATA_PREFETCHES,CPU_COMMAND_LATENCY_TO_TARGET_NODE_0_3_4_7,DATA_CACHE_REFILLS_FROM_SYSTEM,PERF_COUNT_HW_CACHE_REFERENCES,PERF_COUNT_HW_BRANCH_INSTRUCTIONS,PIPELINE_RESTART_DUE_TO_SELF_MODIFYING_CODE,REQUESTS_TO_L2,RETIRED_TAKEN_BRANCH_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,RETIRED_BRANCH_RESYNCS,PREFETCH_INSTRUCTIONS_DISPATCHED,PERF_COUNT_HW_CACHE_ITLB,CANCELLED_STORE_TO_LOAD_FORWARD_OPERATIONS,LFENCE_INST_RETIRED,RETIRED_MISPREDICTED_BRANCH_INSTRUCTIONS,MEMORY_CONTROLLER_REQUESTS,RETIRED_SERIALIZING_OPS,PERF_COUNT_SW_PAGE_FAULTS_MIN,FPU_EXCEPTIONS,PERF_COUNT_SW_CPU_MIGRATIONS,RETIRED_FAR_CONTROL_TRANSFERS,LS_BUFFER_2_FULL_CYCLES,L2_CACHE_MISS,DISPATCHED_FPU,INTERRUPTS_TAKEN,PROBE,MFENCE_INST_RETIRED,L1_ITLB_MISS_AND_L2_ITLB_HIT,RETIRED_FASTPATH_DOUBLE_OP_INSTRUCTIONS,CYCLES_NO_FPU_OPS_RETIRED,IO_TO_DRAM_REQUESTS_TO_TARGET_NODE,DISPATCH_STALL_FOR_REORDER_BUFFER_FULL,PERF_COUNT_SW_PAGE_FAULTS_MAJ,MISALIGNED_ACCESSES,DECODER_EMPTY,L3_FILLS_CAUSED_BY_L2_EVICTIONS,PERF_COUNT_HW_CACHE_BPU,DISPATCH_STALL_FOR_FAR_TRANSFER_OR_RSYNC,RETIRED_NEAR_RETURNS,RETIRED_NEAR_RETURNS_MISPREDICTED,L3_EVICTIONS,PERF_COUNT_SW_CONTEXT_SWITCHES,MEMORY_CONTROLLER_SLOT_MISSES,INSTRUCTION_CACHE_FETCHES,DISPATCH_STALL_FOR_FPU_FULL,PERF_COUNT_HW_INSTRUCTIONS,L1_ITLB_MISS_AND_L2_ITLB_MISS,RETIRED_CPUID_INSTRUCTIONS,SFENCE_INST_RETIRED,HYPERTRANSPORT_LINK2,RETIRED_UOPS,CPU_READ_COMMAND_LATENCY_TO_TARGET_NODE_4_7,DR3_BREAKPOINT_MATCHES,INSTRUCTION_CACHE_REFILLS_FROM_SYSTEM,L1_DTLB_AND_L2_DTLB_MISS,THERMAL_STATUS_AND_ECC_ERRORS,PERF_COUNT_HW_CACHE_L1I,ITLB_RELOADS_ABORTED,DISPATCH_STALLS,PERF_COUNT_HW_CACHE_L1D,PERF_COUNT_SW_CPU_CLOCK,PAGE_SIZE_MISMATCHES,SCRUBBER_SINGLE_BIT_ECC_ERRORS,DATA_CACHE_MISSES,L1_DTLB_HIT,PERF_COUNT_HW_CACHE_LL,MICROARCHITECTURAL_LATE_CANCEL_OF_AN_ACCESS,CPU_TO_DRAM_REQUESTS_TO_TARGET_NODE,RETIRED_INDIRECT_BRANCHES_MISPREDICTED,IBS_OPS_TAGGED,MICROARCHITECTURAL_EARLY_CANCEL_OF_AN_ACCESS,CACHE_BLOCK,DR1_BREAKPOINT_MATCHES,MEMORY_CONTROLLER_BYPASS,READ_REQUEST_TO_L3_CACHE,QUADWORDS_WRITTEN_TO_SYSTEM,DCACHE_MISSES_BY_LOCKED_INSTRUCTIONS,PIPELINE_RESTART_DUE_TO_PROBE_HIT,INSTRUCTION_CACHE_REFILLS_FROM_L2,SYSTEM_READ_RESPONSES,INSTRUCTION_FETCH_STALL,PERF_COUNT_HW_CACHE_DTLB,DR0_BREAKPOINT_MATCHES,RETURN_STACK_HITS,DRAM_ACCESSES_PAGE,DATA_CACHE_REFILLS,DISPATCH_STALL_FOR_LS_FULL,
17844984,365006504,632,84042,108437,2955598,3930394,34824,46071,3322258,568834503,2301184,430760955,53386,3624228,0,36529,1677569,0,12206,4866913,0,3287546,31296143,107328,5779027,0,209364,287540,76247537,12317,551081345,477201761,1436036,4524524,281555,16482480,0,9363912,6504017,13910148,379,813808,93307,52,280128,407973760,477211980,0,0,3998873,231027714,0,64,1095482,167283647,119476066,0,11593273,63153327,9617,121829,25194,0,1187522,308,6602027,10369343,2842,9616,0,34,52904,8160634,2182994,4147855,477,6381312,85634,1279653,1073393,530035866,19136,10648276,1,392203,99502317,107080,5283361,410937,8125268,231168,2525,146,14214045,129105825,6895,491294538,64988,247,20,477211761,458778989,0,0,629561,146458,675893827,15735706,21034,92281604,7430249,569070836,0,0,2462815,190147776,3516804,19516813,7803293,1545785,0,89283826,4923006,0,2598,17533101,5451943,70045,56325,2994734,1962297,320726264,0,0,11319808,3902691,3275266,42969353,
350127030,5777492344895558,9449436650,1436601,3816402464215,11840400,57434505,197162,1478,9307826,136644497,26644612,5805487911770221,1223866,85410093,0,452438,29684175200259,0,100901,1993521,0,57057105,474696725,2218897,2748430,0,36226,31128,929109948951894,208707,147617489,5763231838,402945,114540186,153337,880421119,0,289721607,1075930,532897979,3449822569,16857763,967603372491,0,122004,4955064464822376,5863458365,0,0,131582091792408,10308180135546868,0,19529527259,32518865,26531579,35907569,0,354658052,45490306,5519,75579,8200,0,161052471407755,67,2330200,223902611202962,33357,5519,0,22,21162,505207237,53255473,3188591,8959,7260091,98924,12109251,10975990,699226493,230876726440,312459466,0,80914,1769017527,294593,6505804,6367076,5735142,199978,57732423748,263,37063065,2317677699,125915,87377855,585196571075,6259857695,9,5863288495,6070533803542868,125373565217,0,7942380,48591,1104163699,3166886,196504417052,1810523254,1427724,138549735,0,0,48770552,3570024223,162610,19150990,147653513181915,232255,0,17018258,7296655,0,20484,32557182,105880307058961,26464,2109056,77467833,32663237541601,5616668886730944,0,0,196417254718166,11967677,80301956,668068376,
354558496969496,54201551821495,853804615,1069714,377844657009,2069913,35089933,1298388,347321,696957,68612709,209873365,67445091202550,44551,17263963,0,268902,410423292000,0,41697,483900,0,4988025,8118710,407131,2667346,0,42772791,6744178,58589570134888,117273,137824186,160387907,414337,7290365,179222,10704396,0,8109452,555011,79310911,228178072,23843404,3470654841,0,227109,573903492789996,157582443,0,0,20228662269289,206342565505268,0,1801454434,2236827,26580012,18668040,0,5617659,12862375,117322,98033,4944,0,19486731115030,199,567515,7857420905862,19963,117316,0,2,626,1744438,748951,329629629,7931003507,2380969,9023,8558062,11194969,147737557,531512049751,123627122,0,87186,1711965435990196,22952,44798,5149345,7513823,240943,1137943928,2436,1408252,1697528,20385,87632746,0,439661690,0,158770838,672952300738312,0,0,332597,36612,139049605,3605376,4481582759,1865376190466187,1632629,70676777,0,0,3848270,42313244,220225,8856987,1257474908405,305178,0,8166207,1568458,0,467,3543884,1657724818849,18522,17319,18542262,477612807347,297492544695053,0,0,6754911981124,427522,4685202,1068778721,
30387522803339,2093613627509,708103712,207408706322,292496377108,557304,10903664,5999,6888,602210,65305057,4493001156,252101388513611,77212,11808718,0,37671542955,763380017772,0,9287891308,470274,0,4187599,4895773,323711,2737650,0,71287752,6116265,46320290843128,280541,134485148,31102186,172431,5177425,2188674,53780108,0,5283363,521438,48258773,0,585736,145912371457,187,251604,1485855841844562,29911497,0,0,15691749129931,169207172542948,0,0,1640865,29834231,17798199,0,6946155,12577569,101495,35206,8190,0,15803990480057,4776,542713,1165698170166,2793596967,101490,0,0,555,29004976,1341831,3379935356,371043864,3497383,7910,104287,57659001,145771187,764410088804,101494541,0,247912670,28057479444819,15572,171402,206646,2813949,79695,2211633566,4138,1265096,2326046779,350761764,96995954,0,0,0,30411242,1278506189354491,0,0,4818579,11129,138776207,3561308,4820694004,60869320775743,1585641,67285748,0,0,2797508,94395710,230329,4198844,240436595534,143736,0,15727411,2471463,0,123285,6964201,267096587527,35053,1599993,12137695,198660563613,212589549724100,0,0,6617418860187,391534,11386719,70798662,
79940684238330,32645462795208,1302419843,0,260457355406,546700,9322994,39137,3491,688607,6418085565,2933594030,235538045801579,1224,6884521,0,0,3562735285897,0,0,480675,0,2941973,4828221,256115,3734197,0,35256498,3244995,46455490422104,215303,187429384,72767906,185097,4839103,1239860,41698898,0,12497908,69389313,51896668,0,22898,0,193,260515,636125743966393,70940753,0,0,14869750447048,176614440092102,0,0,1407558,41786085,1482258970,0,15488425,12597001,0,44514,5018,0,15294405683843,4815,540369,3363859529577,0,0,0,0,567,26315723,45841837,2553038020,134458475,2356606,6146,243202,33692064,144346653,450368453639,81294637,8,795999794,69428362700060,14526,331627,217709,2724384,103124,538692206,4167,437021,235060161,267296359,132816051,0,0,0,71712051,472966060612829,0,0,160376,268,140212843,249409937,12549061759,39376693240699,115566566,6471855430,0,0,2552094,120404013,37607258,4822469,875001610197,160829,0,7326046,1569793,0,2604,6386760,4548252303294,29161,91546,7222949,1411530314113,184537640386537,0,0,5402711888925,128861,3331543,73956694,
55805136844337,2462853208521,82606499,0,78894699172,83950818,9018231,15649,4250,92378444,998656830,1176956111,132592032472988,44673,4440198,0,0,4020984654444,0,0,79844884,0,8247956,18683023,248877,3243198,0,20524164,1945023,43105497738440,139191,138006749,99495100,349132,5000409,0,2133679230,0,11100844,33080232,48163042,0,232520,0,0,389406,214806029075236,97695807,0,0,394235839214,3001300331474568,0,0,1374705,28599967,117287153,28,13085552,1285963424,0,27561,3506,0,160810893145707,429,105859834,1669646931726,0,0,0,0,644551,681863473,6683880,3432731798,258214904,2321561,7285,1805413,12454413,11478687092,269976423832,56233410,0,259507978,62684580353762,2231965,49235743,216690,2336971,57538,1029751338,4138,28280961,223414727,195537976,97350280,0,0,0,98457540,63344293760667,0,0,193482,313,15238715321,5118705,137437927,18019832417894,681875,972724423,0,0,2694835,154167180,577709,23338376,437982704144,111347,0,4829185,1685956,0,298,317992459,5363959571715,13160,134791,4654844,1380759001351,255296784362915,0,0,6721011379419,8768657,2870739,87279980,
40901970477084,2977047878972,237700195,0,157855362537,9629139,663275,48027,6284,4291726,992593137,1936823429,36298719713241,1630068,114262205,0,0,2044614449211,0,0,9062812,0,4463176,10202221,29100805,3261819,0,27113674,2697507,715776946901395,126515,138428258,110809351,249933,4413041,0,1214767332,0,266876334,22288963,86476285,0,900865,0,0,7939433,115385297919289,108885342,0,0,55664838445325,2072381415144400,0,0,1238647,28644507,129221796,0,320059941,33461105,0,22018,5374,0,104998814095160,323,20989847,1278653772527,0,0,0,429,6773,73280230,9717591,2625551842,323960232,131709867,11300,465528,23191308,133097602,229117652160,17715997,0,44792885,48011497413611,982270,26618999,6995165,1348150,47061,454453416,102933,11274719,167827189,134937918,97721995,0,0,341,109691390,31936758994492,0,0,861710,4152985,1090137725,10072147,5052330600,224562850751505,4513317,984540107,0,0,2291053,129648590,785504,5463088,789214036394,77152,0,10007764,110782926,0,3578,4691056,5516553892529,17703,86300,108896700,1362793973414,174750347603321,0,0,3655577052975,2533600,6113553,1390498676,
4755273013239,30839566500350,69499963,0,196408084868,1409536,66400105,39875,6274,3454930,880976728,2121958326,590895990175667,5606,7761875,0,0,1268051505320,0,0,5920464,0,4050358,8876093,84083803,3232308,0,11341322,1108421,0,2049047,138217742,80246414,197907,9141774,0,925874520,0,58873,16795197,1032820691,0,99036,0,0,389605,75339174444447,78691304,0,0,0,899689379829860,0,0,2818341,28685769,113184488,0,6831959,106721707,0,2976098,5939,0,43820836398785,474,19866408,1004683786535,0,0,0,3,1830,61990641,9675012,2358990738,218217179,5834028,1862823,1448537,26363229,6556934,140407994416,1327016167,0,270034626,10243266423257,130555,21894107,1234061865344,246994633,6826568,240576570,88088,623051787,159851410,97948483,97751178,0,0,1321,79340595,18099112800520,0,0,681820,1733709,1334340389,2712373,46640297118,584114951662151,6106509,877277420,0,0,3835354,5997098063,2268416,4853112,0,20895946,0,12984038,7071032,0,2100,6643405,328414308654,23036,772603353162,7601870,7335494547,165836013979708,0,0,3490781660680,172399813,130096083,31323968,
390897043107196,20133045748595,0,0,3266271855815,4693136,10962215594271,24064,6627,1530214,728362184,361341790,98459766998983,41938,7411931,0,0,1141640618488,0,0,12817466,0,3910136,8468121,7352754,221805707,0,23818569,2493999,0,320732,13058878158,13097373524,201674,182878399,0,748606265,0,1625280,12794150,1959007,0,60006,0,0,343814,1098569211840863,13083332722,0,0,0,507579585361832,0,0,48787746,3199996172,9425300,0,45999435,64368396,0,11297,10087,0,24240453798462,17,11407547,1005182741096,0,0,0,6,1569,60735387,885871,7685004592,214479583,7056547,1347348,4449117,4440756,65782573,64713552469,2836511,0,122686799,1237853302652872,176961,30652979,0,13939233,13442,228267819,0,83990471,132746502,86819012,10296402637,0,0,322,13088541206,1098956870424067,0,0,72789,174120,1891622808,1794241,3009187989,382667532149973,6707837,726327815,0,0,93943870,4313749245,3693747,4984134,0,1277353,0,8774350,6734143,0,1168,8118354,1856449330010,38657,0,7218619,447580590382,615027544817874,0,0,10570706191535,4173317,9143252,20104419,
0,31559235285326,0,0,0,3762385,0,48745,15328,5869330,715027266,358630089,17782989534,735318,28553686,0,0,401216803642,0,0,7117942,0,3566726,7501610,5299823,1320033,0,15685888,1690531,0,4602,359759646,889996311,34935188,2658226,0,174260093,0,48129813,137472030,132991875,0,163644,0,0,1264565,322958208728188,896680456,0,0,0,8556004892547048,0,0,2190117,368102820,1760885189,0,60729334,80490461,0,3749,7797,0,2079098436616,14828,13645309,529228033549,0,0,0,21,1052792,495328,266549,20335449774,167706046,9138702,0,2997265,4887548,59404053,46950857497,8792985,0,36319908,0,164734,23741762,0,7091562,40304,692385738,0,27719430,147080893,57732479,2803303211,0,0,1171,894112736,286642964420484,0,0,22551,266653,1098051845,4712582,126727407701,267657185055975,11061508,713662379,0,0,18319885,27420141,1244283,970201386,0,508016,0,8404805,8636667,0,2375,9251854,7879016487254,38046,0,27691742,1979333325491,1231465096127508,0,0,13906631371771,8318196,20839912,29148670,
