PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_CACHE_REFERENCES,PERF_COUNT_HW_CACHE_MISSES,PERF_COUNT_HW_INSTRUCTIONS,PERF_COUNT_HW_CACHE_LL,
139,2194532063,809355961,102325,4436553411,7482,
0,2194792277,806800195,96018,4455583922,2301,
0,2194800189,809224542,98628,4441930490,2905,
0,2194828601,807529089,95883,4449877650,2160,
0,2194825547,813659448,98265,4449489942,2778,
0,2194826363,811111864,95930,4437419610,2154,
0,2194800521,811177929,97555,4447646590,2815,
0,2194740971,809823939,95875,4440413655,2289,
0,2194719960,809441802,98269,4451151478,3765,
0,2194726247,809947144,95582,4448487370,3384,
0,2194733312,812435306,98226,4447593239,2971,
0,2194827671,811610987,96038,4449286962,2393,
0,2194793949,812529608,98096,4449971954,2961,
0,2194828609,809333054,95856,4441356409,2124,
0,2194823444,808328336,98515,4437956834,2751,
0,2194821937,808008264,95885,4441335466,2127,
0,2194731859,808297843,98536,4435512008,2854,
0,2194793438,807812396,95841,4447808375,2229,
0,2194827084,809369185,98156,4449332765,2772,
0,2194791659,811008664,96111,4438531274,2131,
0,2194771881,811296601,98397,4447025688,3981,
0,2194933546,811561724,96118,4439476249,3311,
0,2194737539,811255433,98591,4442703156,3990,
0,2194828457,811721742,95749,4442465443,3284,
0,2194821388,809473316,98380,4454149324,3938,
0,2194822633,810266671,95657,4440584274,3330,
0,2194720923,810625236,98777,4446350981,3993,
0,2194789072,811820542,95766,4446816300,3329,
0,2194825995,809899679,98662,4452901790,3896,
271381,2194808403,315520177,2444544,1176520583,22831320,
287791,2194802112,282522867,2529268,1003236597,24476711,
288873,2194750809,280315973,2530250,1006231938,24576093,
289343,2194847032,281074592,2620778,1007545713,24532157,
289391,2194811930,280472210,2502127,1007664725,24522569,
289258,2194804118,278663050,2527573,1007315731,24649500,
288829,2194800884,281525896,2517027,1006197846,24565982,
289344,2194583564,282040061,2624969,1007566870,24483648,
289207,2194722440,280986544,2679014,1007215373,24561038,
289472,2194593360,320417593,2443631,1007907316,22533942,
272849,2194810793,277738503,2650666,1111475503,24589732,
278909,2194801230,276937425,2851458,1078877213,24720426,
290614,2194783257,279458032,2717977,1010706988,24633145,
289605,2194867987,279687044,2703835,1008157340,24613680,
290142,2194810912,279061239,2641388,1009623231,24630427,
290458,2194805865,280937745,2654220,1010449988,24542362,
290666,2194818696,277565122,2650742,1011023686,24723553,
289526,2194698235,280080680,2602541,1008030378,24570543,
290232,2194770194,312723119,2435528,1009899433,22945805,
290514,2194811487,292249368,2537554,1010641418,23905058,
282918,2194810050,279891738,2573841,1050578987,24616644,
270663,2194745151,280490080,2592699,1144670648,24583671,
289941,2194681406,282526297,2561096,1008859429,24541568,
289424,2194722857,282807440,2783727,1007681038,24498987,
290014,2194912947,278644834,2741131,1009101461,24678258,
290159,2194804596,278901844,2546552,1009212761,24636431,
290821,2194801883,278270052,2545029,1010956102,24692923,
290406,2193638400,292623913,2622388,1009894373,23870887,
290514,2194767823,305358444,2495426,1010179933,23196094,
290191,2194809768,279591142,2625241,1009330292,24577748,
29311,1641354664,219290145,1863380,323754252,17966255,
